multipole_ell,TT,EE,BB,PP
ell0072,1.9126100000e+03,3.5533200000e-01,1.6527300000e-03,1.2017200000e-07
ell0073,1.9373400000e+03,3.6898900000e-01,1.6989500000e-03,1.1949400000e-07
ell0074,1.9622700000e+03,3.8282100000e-01,1.7458100000e-03,1.1881600000e-07
ell0075,1.9875200000e+03,3.9683700000e-01,1.7933100000e-03,1.1813600000e-07
ell0076,2.0130600000e+03,4.1103800000e-01,1.8414600000e-03,1.1745500000e-07
ell0077,2.0389300000e+03,4.2541600000e-01,1.8902500000e-03,1.1677400000e-07
ell0078,2.0651600000e+03,4.3999500000e-01,1.9396900000e-03,1.1609200000e-07
ell0079,2.0915800000e+03,4.5471900000e-01,1.9897700000e-03,1.1541000000e-07
ell0080,2.1182800000e+03,4.6959100000e-01,2.0405100000e-03,1.1472900000e-07
ell0081,2.1451700000e+03,4.8456100000e-01,2.0919000000e-03,1.1404800000e-07
ell0082,2.1723100000e+03,4.9964900000e-01,2.1439500000e-03,1.1336900000e-07
ell0083,2.1996400000e+03,5.1483100000e-01,2.1966600000e-03,1.1269100000e-07
ell0084,2.2272300000e+03,5.3010300000e-01,2.2500300000e-03,1.1201500000e-07
ell0085,2.2549600000e+03,5.4544000000e-01,2.3040600000e-03,1.1134100000e-07
ell0086,2.2828800000e+03,5.6085500000e-01,2.3587600000e-03,1.1067000000e-07
ell0087,2.3112400000e+03,5.7631600000e-01,2.4141400000e-03,1.1000000000e-07
ell0088,2.3395900000e+03,5.9183800000e-01,2.4701800000e-03,1.0933300000e-07
ell0089,2.3682900000e+03,6.0740600000e-01,2.5269000000e-03,1.0866900000e-07
ell0090,2.3972100000e+03,6.2298200000e-01,2.5843100000e-03,1.0800800000e-07
ell0091,2.4262700000e+03,6.3855900000e-01,2.6423900000e-03,1.0734900000e-07
ell0092,2.4556200000e+03,6.5412100000e-01,2.7011600000e-03,1.0669400000e-07
ell0093,2.4852600000e+03,6.6966100000e-01,2.7606300000e-03,1.0604200000e-07
ell0094,2.5149700000e+03,6.8514300000e-01,2.8207800000e-03,1.0539200000e-07
ell0095,2.5449800000e+03,7.0056500000e-01,2.8816300000e-03,1.0474600000e-07
ell0096,2.5749800000e+03,7.1591300000e-01,2.9431800000e-03,1.0410300000e-07
ell0097,2.6054200000e+03,7.3117200000e-01,3.0054400000e-03,1.0346400000e-07
ell0098,2.6360900000e+03,7.4633400000e-01,3.0684000000e-03,1.0282700000e-07
ell0099,2.6668300000e+03,7.6136300000e-01,3.1320700000e-03,1.0219400000e-07
ell0100,2.6978600000e+03,7.7625800000e-01,3.1964600000e-03,1.0156500000e-07
ell0101,2.7290500000e+03,7.9107900000e-01,3.2615600000e-03,1.0093900000e-07
ell0102,2.7607600000e+03,8.0567600000e-01,3.3273900000e-03,1.0031600000e-07
ell0103,2.7923900000e+03,8.2012500000e-01,3.3939400000e-03,9.9697100000e-08
ell0104,2.8242600000e+03,8.3442600000e-01,3.4612200000e-03,9.9081800000e-08
ell0105,2.8562700000e+03,8.4850300000e-01,3.5292300000e-03,9.8470300000e-08
ell0106,2.8885100000e+03,8.6243100000e-01,3.5979800000e-03,9.7862500000e-08
