multipole_ell,TT,EE,BB,PP
ell0597,2.2574800000e+03,1.8917100000e+01,7.6887800000e-02,1.4783800000e-08
ell0598,2.2486900000e+03,1.9211400000e+01,7.6977100000e-02,1.4746500000e-08
ell0599,2.2397600000e+03,1.9507000000e+01,7.7065100000e-02,1.4709400000e-08
ell0600,2.2307500000e+03,1.9804000000e+01,7.7151700000e-02,1.4672400000e-08
ell0601,2.2217500000e+03,2.0102400000e+01,7.7236900000e-02,1.4635500000e-08
ell0602,2.2127500000e+03,2.0400700000e+01,7.7320900000e-02,1.4598800000e-08
ell0603,2.2036700000e+03,2.0701100000e+01,7.7403500000e-02,1.4562200000e-08
ell0604,2.1947400000e+03,2.1001500000e+01,7.7484800000e-02,1.4525800000e-08
ell0605,2.1857500000e+03,2.1302500000e+01,7.7564800000e-02,1.4489500000e-08
ell0606,2.1768200000e+03,2.1604100000e+01,7.7643600000e-02,1.4453300000e-08
ell0607,2.1676800000e+03,2.1906400000e+01,7.7721200000e-02,1.4417300000e-08
ell0608,2.1587500000e+03,2.2209400000e+01,7.7797500000e-02,1.4381400000e-08
ell0609,2.1499100000e+03,2.2511500000e+01,7.7872700000e-02,1.4345700000e-08
ell0610,2.1409900000e+03,2.2813600000e+01,7.7946700000e-02,1.4310100000e-08
ell0611,2.1321400000e+03,2.3116300000e+01,7.8019500000e-02,1.4274700000e-08
ell0612,2.1233700000e+03,2.3419700000e+01,7.8091200000e-02,1.4239300000e-08
ell0613,2.1145300000e+03,2.3720100000e+01,7.8161800000e-02,1.4204200000e-08
ell0614,2.1058300000e+03,2.4021800000e+01,7.8231400000e-02,1.4169100000e-08
ell0615,2.0971300000e+03,2.4322000000e+01,7.8299900000e-02,1.4134200000e-08
ell0616,2.0885100000e+03,2.4622900000e+01,7.8367300000e-02,1.4099400000e-08
ell0617,2.0800400000e+03,2.4923000000e+01,7.8433800000e-02,1.4064800000e-08
ell0618,2.0715700000e+03,2.5222300000e+01,7.8499300000e-02,1.4030300000e-08
ell0619,2.0630900000e+03,2.5521500000e+01,7.8563800000e-02,1.3995900000e-08
ell0620,2.0548400000e+03,2.5817700000e+01,7.8627500000e-02,1.3961700000e-08
ell0621,2.0465100000e+03,2.6113800000e+01,7.8690200000e-02,1.3927600000e-08
ell0622,2.0383300000e+03,2.6408400000e+01,7.8752100000e-02,1.3893600000e-08
ell0623,2.0303000000e+03,2.6700800000e+01,7.8813100000e-02,1.3859700000e-08
ell0624,2.0222700000e+03,2.6991600000e+01,7.8873400000e-02,1.3826000000e-08
ell0625,2.0143100000e+03,2.7280800000e+01,7.8932800000e-02,1.3792400000e-08
ell0626,2.0065000000e+03,2.7568600000e+01,7.8991500000e-02,1.3759000000e-08
ell0627,1.9988300000e+03,2.7854100000e+01,7.9049500000e-02,1.3725700000e-08
ell0628,1.9912400000e+03,2.8137300000e+01,7.9106800000e-02,1.3692500000e-08
ell0629,1.9837900000e+03,2.8418300000e+01,7.9163400000e-02,1.3659400000e-08
ell0630,1.9763500000e+03,2.8697000000e+01,7.9219400000e-02,1.3626400000e-08
ell0631,1.9690500000e+03,2.8973500000e+01,7.9274800000e-02,1.3593600000e-08
ell0632,1.9619700000e+03,2.9247000000e+01,7.9329600000e-02,1.3560900000e-08
ell0633,1.9548800000e+03,2.9519000000e+01,7.9383900000e-02,1.3528300000e-08
ell0634,1.9480200000e+03,2.9786500000e+01,7.9437600000e-02,1.3495900000e-08
ell0635,1.9413100000e+03,3.0052500000e+01,7.9490900000e-02,1.3463600000e-08
ell0636,1.9345900000e+03,3.0316300000e+01,7.9543700000e-02,1.3431400000e-08
ell0637,1.9280900000e+03,3.0574900000e+01,7.9596100000e-02,1.3399300000e-08
ell0638,1.9217400000e+03,3.0832000000e+01,7.9648000000e-02,1.3367300000e-08
ell0639,1.9155300000e+03,3.1084700000e+01,7.9699600000e-02,1.3335500000e-08
ell0640,1.9094700000e+03,3.1335100000e+01,7.9750800000e-02,1.3303800000e-08
ell0641,1.9035600000e+03,3.1581900000e+01,7.9801700000e-02,1.3272200000e-08
ell0642,1.8977100000e+03,3.1824200000e+01,7.9852400000e-02,1.3240700000e-08
ell0643,1.8920900000e+03,3.2064300000e+01,7.9902700000e-02,1.3209400000e-08
ell0644,1.8866800000e+03,3.2298500000e+01,7.9952900000e-02,1.3178100000e-08
ell0645,1.8813500000e+03,3.2529700000e+01,8.0002800000e-02,1.3147000000e-08
ell0646,1.8761600000e+03,3.2757300000e+01,8.0052500000e-02,1.3116000000e-08
ell0647,1.8712600000e+03,3.2980400000e+01,8.0102100000e-02,1.3085100000e-08
ell0648,1.8663700000e+03,3.3199900000e+01,8.0151600000e-02,1.3054300000e-08
ell0649,1.8617600000e+03,3.3414200000e+01,8.0201000000e-02,1.3023700000e-08
ell0650,1.8573000000e+03,3.3624100000e+01,8.0250300000e-02,1.2993100000e-08
ell0651,1.8529900000e+03,3.3831100000e+01,8.0299500000e-02,1.2962700000e-08
ell0652,1.8488100000e+03,3.4032900000e+01,8.0348800000e-02,1.2932400000e-08
ell0653,1.8449400000e+03,3.4228900000e+01,8.0398000000e-02,1.2902100000e-08
ell0654,1.8411300000e+03,3.4421200000e+01,8.0447300000e-02,1.2872100000e-08
ell0655,1.8374700000e+03,3.4609100000e+01,8.0496700000e-02,1.2842100000e-08
ell0656,1.8341000000e+03,3.4791900000e+01,8.0546100000e-02,1.2812200000e-08
ell0657,1.8308700000e+03,3.4969600000e+01,8.0595700000e-02,1.2782400000e-08
ell0658,1.8277100000e+03,3.5142900000e+01,8.0645400000e-02,1.2752800000e-08
ell0659,1.8249200000e+03,3.5311100000e+01,8.0695300000e-02,1.2723200000e-08
ell0660,1.8222800000e+03,3.5473400000e+01,8.0745400000e-02,1.2693800000e-08
ell0661,1.8197700000e+03,3.5630700000e+01,8.0795600000e-02,1.2664500000e-08
ell0662,1.8174900000e+03,3.5783600000e+01,8.0846200000e-02,1.2635300000e-08
ell0663,1.8153500000e+03,3.5931400000e+01,8.0897000000e-02,1.2606200000e-08
ell0664,1.8134300000e+03,3.6072700000e+01,8.0948100000e-02,1.2577200000e-08
ell0665,1.8116500000e+03,3.6208800000e+01,8.0999500000e-02,1.2548300000e-08
ell0666,1.8100800000e+03,3.6339900000e+01,8.1051200000e-02,1.2519500000e-08
ell0667,1.8087400000e+03,3.6465200000e+01,8.1103300000e-02,1.2490800000e-08
ell0668,1.8074600000e+03,3.6585500000e+01,8.1155900000e-02,1.2462200000e-08
ell0669,1.8065500000e+03,3.6699900000e+01,8.1208800000e-02,1.2433700000e-08
ell0670,1.8057100000e+03,3.6808500000e+01,8.1262200000e-02,1.2405400000e-08
ell0671,1.8051600000e+03,3.6912800000e+01,8.1316000000e-02,1.2377100000e-08
ell0672,1.8046800000e+03,3.7009900000e+01,8.1370400000e-02,1.2348900000e-08
ell0673,1.8044900000e+03,3.7102600000e+01,8.1425200000e-02,1.2320900000e-08
ell0674,1.8044400000e+03,3.7188800000e+01,8.1480600000e-02,1.2292900000e-08
ell0675,1.8046100000e+03,3.7269300000e+01,8.1536500000e-02,1.2265100000e-08
ell0676,1.8049200000e+03,3.7343900000e+01,8.1593100000e-02,1.2237300000e-08
ell0677,1.8054500000e+03,3.7412800000e+01,8.1650200000e-02,1.2209600000e-08
ell0678,1.8062000000e+03,3.7475200000e+01,8.1708000000e-02,1.2182100000e-08
ell0679,1.8070900000e+03,3.7532600000e+01,8.1766400000e-02,1.2154600000e-08
ell0680,1.8082700000e+03,3.7584200000e+01,8.1825500000e-02,1.2127300000e-08
ell0681,1.8095900000e+03,3.7629300000e+01,8.1885300000e-02,1.2100000000e-08
ell0682,1.8110500000e+03,3.7667900000e+01,8.1945800000e-02,1.2072900000e-08
ell0683,1.8128100000e+03,3.7702300000e+01,8.2007100000e-02,1.2045800000e-08
ell0684,1.8146300000e+03,3.7728700000e+01,8.2069100000e-02,1.2018800000e-08
ell0685,1.8165900000e+03,3.7750100000e+01,8.2131800000e-02,1.1992000000e-08
ell0686,1.8187800000e+03,3.7765000000e+01,8.2195400000e-02,1.1965200000e-08
ell0687,1.8212500000e+03,3.7774900000e+01,8.2259800000e-02,1.1938500000e-08
ell0688,1.8237900000e+03,3.7777600000e+01,8.2325000000e-02,1.1911900000e-08
ell0689,1.8265500000e+03,3.7774500000e+01,8.2391100000e-02,1.1885400000e-08
ell0690,1.8294500000e+03,3.7766500000e+01,8.2458100000e-02,1.1859000000e-08
ell0691,1.8325600000e+03,3.7750500000e+01,8.2525900000e-02,1.1832700000e-08
ell0692,1.8358200000e+03,3.7730300000e+01,8.2594700000e-02,1.1806500000e-08
ell0693,1.8393000000e+03,3.7703600000e+01,8.2664300000e-02,1.1780400000e-08
ell0694,1.8428400000e+03,3.7670500000e+01,8.2734900000e-02,1.1754400000e-08
ell0695,1.8466700000e+03,3.7633100000e+01,8.2806500000e-02,1.1728500000e-08
ell0696,1.8506500000e+03,3.7588500000e+01,8.2879000000e-02,1.1702600000e-08
ell0697,1.8547700000e+03,3.7538200000e+01,8.2952500000e-02,1.1676900000e-08
ell0698,1.8590300000e+03,3.7481400000e+01,8.3027000000e-02,1.1651200000e-08
ell0699,1.8634400000e+03,3.7419700000e+01,8.3102400000e-02,1.1625600000e-08
ell0700,1.8680600000e+03,3.7351500000e+01,8.3178900000e-02,1.1600200000e-08
ell0701,1.8728200000e+03,3.7277600000e+01,8.3256400000e-02,1.1574800000e-08
ell0702,1.8777300000e+03,3.7198800000e+01,8.3335000000e-02,1.1549500000e-08
ell0703,1.8827800000e+03,3.7113500000e+01,8.3414500000e-02,1.1524200000e-08
ell0704,1.8879700000e+03,3.7023200000e+01,8.3495100000e-02,1.1499100000e-08
ell0705,1.8932400000e+03,3.6926500000e+01,8.3576800000e-02,1.1474100000e-08
ell0706,1.8987100000e+03,3.6824800000e+01,8.3659500000e-02,1.1449100000e-08
ell0707,1.9042600000e+03,3.6717400000e+01,8.3743300000e-02,1.1424300000e-08
ell0708,1.9101000000e+03,3.6605100000e+01,8.3828100000e-02,1.1399500000e-08
ell0709,1.9159300000e+03,3.6487100000e+01,8.3914100000e-02,1.1374800000e-08
ell0710,1.9219800000e+03,3.6363300000e+01,8.4001000000e-02,1.1350200000e-08
ell0711,1.9280900000e+03,3.6234700000e+01,8.4089100000e-02,1.1325600000e-08
ell0712,1.9343500000e+03,3.6101100000e+01,8.4178300000e-02,1.1301200000e-08
ell0713,1.9408300000e+03,3.5961700000e+01,8.4268500000e-02,1.1276800000e-08
ell0714,1.9472200000e+03,3.5818200000e+01,8.4359800000e-02,1.1252500000e-08
ell0715,1.9538300000e+03,3.5669000000e+01,8.4452100000e-02,1.1228300000e-08
ell0716,1.9605900000e+03,3.5514900000e+01,8.4545600000e-02,1.1204200000e-08
ell0717,1.9674100000e+03,3.5356500000e+01,8.4640100000e-02,1.1180200000e-08
ell0718,1.9743100000e+03,3.5193200000e+01,8.4735600000e-02,1.1156300000e-08
ell0719,1.9813400000e+03,3.5023500000e+01,8.4832300000e-02,1.1132400000e-08
ell0720,1.9883700000e+03,3.4850300000e+01,8.4930000000e-02,1.1108600000e-08
ell0721,1.9956900000e+03,3.4673600000e+01,8.5028700000e-02,1.1084900000e-08
ell0722,2.0029300000e+03,3.4491200000e+01,8.5128500000e-02,1.1061300000e-08
ell0723,2.0103100000e+03,3.4305400000e+01,8.5229300000e-02,1.1037700000e-08
ell0724,2.0177700000e+03,3.4114600000e+01,8.5331200000e-02,1.1014300000e-08
ell0725,2.0252900000e+03,3.3920400000e+01,8.5434100000e-02,1.0990900000e-08
ell0726,2.0329500000e+03,3.3723400000e+01,8.5538000000e-02,1.0967600000e-08
ell0727,2.0406100000e+03,3.3520700000e+01,8.5642900000e-02,1.0944300000e-08
ell0728,2.0483400000e+03,3.3313100000e+01,8.5748800000e-02,1.0921200000e-08
ell0729,2.0561400000e+03,3.3102800000e+01,8.5855700000e-02,1.0898100000e-08
ell0730,2.0639300000e+03,3.2888900000e+01,8.5963500000e-02,1.0875100000e-08
ell0731,2.0719400000e+03,3.2670100000e+01,8.6072300000e-02,1.0852200000e-08
ell0732,2.0798800000e+03,3.2450100000e+01,8.6182100000e-02,1.0829400000e-08
ell0733,2.0879500000e+03,3.2225000000e+01,8.6292800000e-02,1.0806600000e-08
ell0734,2.0960300000e+03,3.1997200000e+01,8.6404500000e-02,1.0783900000e-08
ell0735,2.1041700000e+03,3.1765200000e+01,8.6517000000e-02,1.0761300000e-08
ell0736,2.1122300000e+03,3.1530500000e+01,8.6630500000e-02,1.0738800000e-08
ell0737,2.1204400000e+03,3.1293700000e+01,8.6744800000e-02,1.0716300000e-08
ell0738,2.1285700000e+03,3.1054200000e+01,8.6860000000e-02,1.0693900000e-08
ell0739,2.1367700000e+03,3.0811200000e+01,8.6976100000e-02,1.0671600000e-08
ell0740,2.1449600000e+03,3.0565400000e+01,8.7093000000e-02,1.0649300000e-08
ell0741,2.1532300000e+03,3.0316100000e+01,8.7210700000e-02,1.0627200000e-08
ell0742,2.1614900000e+03,3.0067000000e+01,8.7329200000e-02,1.0605100000e-08
ell0743,2.1697500000e+03,2.9815800000e+01,8.7448600000e-02,1.0583000000e-08
ell0744,2.1780800000e+03,2.9561100000e+01,8.7568700000e-02,1.0561100000e-08
ell0745,2.1863400000e+03,2.9304400000e+01,8.7689500000e-02,1.0539200000e-08
ell0746,2.1945100000e+03,2.9046400000e+01,8.7811200000e-02,1.0517400000e-08
ell0747,2.2026900000e+03,2.8785600000e+01,8.7933500000e-02,1.0495600000e-08
ell0748,2.2109300000e+03,2.8524200000e+01,8.8056500000e-02,1.0474000000e-08
ell0749,2.2191700000e+03,2.8259300000e+01,8.8180300000e-02,1.0452400000e-08
ell0750,2.2273400000e+03,2.7994500000e+01,8.8304600000e-02,1.0430800000e-08
ell0751,2.2355000000e+03,2.7727700000e+01,8.8429700000e-02,1.0409400000e-08
ell0752,2.2436700000e+03,2.7461000000e+01,8.8555400000e-02,1.0388000000e-08
ell0753,2.2517500000e+03,2.7191500000e+01,8.8681600000e-02,1.0366600000e-08
ell0754,2.2597600000e+03,2.6922100000e+01,8.8808500000e-02,1.0345400000e-08
ell0755,2.2678400000e+03,2.6651300000e+01,8.8935900000e-02,1.0324200000e-08
ell0756,2.2757000000e+03,2.6380000000e+01,8.9063900000e-02,1.0303100000e-08
ell0757,2.2837000000e+03,2.6108800000e+01,8.9192400000e-02,1.0282000000e-08
ell0758,2.2914800000e+03,2.5836200000e+01,8.9321400000e-02,1.0261000000e-08
ell0759,2.2993400000e+03,2.5563000000e+01,8.9450900000e-02,1.0240100000e-08
ell0760,2.3070400000e+03,2.5289900000e+01,8.9580900000e-02,1.0219200000e-08
ell0761,2.3146700000e+03,2.5017000000e+01,8.9711300000e-02,1.0198500000e-08
ell0762,2.3223700000e+03,2.4744100000e+01,8.9842000000e-02,1.0177700000e-08
ell0763,2.3298500000e+03,2.4472000000e+01,8.9973200000e-02,1.0157100000e-08
ell0764,2.3373300000e+03,2.4199300000e+01,9.0104800000e-02,1.0136500000e-08
ell0765,2.3446600000e+03,2.3926700000e+01,9.0236600000e-02,1.0116000000e-08
ell0766,2.3519900000e+03,2.3655700000e+01,9.0368800000e-02,1.0095500000e-08
ell0767,2.3591700000e+03,2.3385500000e+01,9.0501300000e-02,1.0075100000e-08
ell0768,2.3662800000e+03,2.3115300000e+01,9.0634000000e-02,1.0054800000e-08
ell0769,2.3733100000e+03,2.2845200000e+01,9.0767000000e-02,1.0034500000e-08
ell0770,2.3802000000e+03,2.2577400000e+01,9.0900100000e-02,1.0014300000e-08
ell0771,2.3870100000e+03,2.2310400000e+01,9.1033500000e-02,9.9941300000e-09
ell0772,2.3936800000e+03,2.2044900000e+01,9.1167000000e-02,9.9740400000e-09
ell0773,2.4002700000e+03,2.1780900000e+01,9.1300600000e-02,9.9540200000e-09
ell0774,2.4067100000e+03,2.1518400000e+01,9.1434300000e-02,9.9340700000e-09
ell0775,2.4131600000e+03,2.1257500000e+01,9.1568100000e-02,9.9141700000e-09
ell0776,2.4193100000e+03,2.0998800000e+01,9.1701900000e-02,9.8943400000e-09
ell0777,2.4253900000e+03,2.0741600000e+01,9.1835700000e-02,9.8745600000e-09
ell0778,2.4315400000e+03,2.0486600000e+01,9.1969500000e-02,9.8548500000e-09
ell0779,2.4373200000e+03,2.0233800000e+01,9.2103200000e-02,9.8352000000e-09
ell0780,2.4430400000e+03,1.9981800000e+01,9.2236900000e-02,9.8156100000e-09
ell0781,2.4486800000e+03,1.9734200000e+01,9.2370400000e-02,9.7960800000e-09
ell0782,2.4541000000e+03,1.9488100000e+01,9.2503800000e-02,9.7766100000e-09
ell0783,2.4594500000e+03,1.9244900000e+01,9.2637000000e-02,9.7572000000e-09
ell0784,2.4646500000e+03,1.9004700000e+01,9.2770000000e-02,9.7378400000e-09
ell0785,2.4696300000e+03,1.8766700000e+01,9.2902800000e-02,9.7185500000e-09
ell0786,2.4745500000e+03,1.8531500000e+01,9.3035300000e-02,9.6993200000e-09
ell0787,2.4792400000e+03,1.8300100000e+01,9.3167500000e-02,9.6801400000e-09
ell0788,2.4837900000e+03,1.8070700000e+01,9.3299400000e-02,9.6610300000e-09
ell0789,2.4881900000e+03,1.7843600000e+01,9.3430900000e-02,9.6419700000e-09
ell0790,2.4925200000e+03,1.7622300000e+01,9.3562000000e-02,9.6229600000e-09
ell0791,2.4966400000e+03,1.7403200000e+01,9.3692700000e-02,9.6040200000e-09
ell0792,2.5006000000e+03,1.7188400000e+01,9.3822900000e-02,9.5851300000e-09
ell0793,2.5043500000e+03,1.6978000000e+01,9.3952700000e-02,9.5663000000e-09
ell0794,2.5078900000e+03,1.6771200000e+01,9.4081900000e-02,9.5475300000e-09
ell0795,2.5112700000e+03,1.6567300000e+01,9.4210500000e-02,9.5288100000e-09
ell0796,2.5146700000e+03,1.6368400000e+01,9.4338600000e-02,9.5101400000e-09
ell0797,2.5176900000e+03,1.6172400000e+01,9.4466100000e-02,9.4915400000e-09
ell0798,2.5205800000e+03,1.5981500000e+01,9.4592900000e-02,9.4729800000e-09
ell0799,2.5233100000e+03,1.5794900000e+01,9.4719100000e-02,9.4544900000e-09
ell0800,2.5259100000e+03,1.5611900000e+01,9.4844500000e-02,9.4360400000e-09
ell0801,2.5282900000e+03,1.5433900000e+01,9.4969200000e-02,9.4176500000e-09
ell0802,2.5303700000e+03,1.5260200000e+01,9.5093200000e-02,9.3993200000e-09
ell0803,2.5324700000e+03,1.5090000000e+01,9.5216400000e-02,9.3810400000e-09
ell0804,2.5342700000e+03,1.4925700000e+01,9.5338700000e-02,9.3628100000e-09
ell0805,2.5360000000e+03,1.4765600000e+01,9.5460200000e-02,9.3446400000e-09
ell0806,2.5374400000e+03,1.4609800000e+01,9.5580800000e-02,9.3265200000e-09
ell0807,2.5386600000e+03,1.4459700000e+01,9.5700500000e-02,9.3084500000e-09
ell0808,2.5396700000e+03,1.4314700000e+01,9.5819300000e-02,9.2904400000e-09
ell0809,2.5406100000e+03,1.4174600000e+01,9.5937100000e-02,9.2724700000e-09
ell0810,2.5412600000e+03,1.4039500000e+01,9.6053900000e-02,9.2545700000e-09
ell0811,2.5417000000e+03,1.3909400000e+01,9.6169800000e-02,9.2367100000e-09
ell0812,2.5419900000e+03,1.3785700000e+01,9.6284500000e-02,9.2189000000e-09
ell0813,2.5420700000e+03,1.3665600000e+01,9.6398300000e-02,9.2011500000e-09
ell0814,2.5420800000e+03,1.3551800000e+01,9.6510900000e-02,9.1834500000e-09
ell0815,2.5418000000e+03,1.3443100000e+01,9.6622400000e-02,9.1658000000e-09
ell0816,2.5412300000e+03,1.3340000000e+01,9.6732800000e-02,9.1482000000e-09
ell0817,2.5405300000e+03,1.3241800000e+01,9.6842100000e-02,9.1306500000e-09
ell0818,2.5397500000e+03,1.3150100000e+01,9.6950100000e-02,9.1131500000e-09
ell0819,2.5386900000e+03,1.3063300000e+01,9.7057000000e-02,9.0957000000e-09
ell0820,2.5374800000e+03,1.2982200000e+01,9.7162600000e-02,9.0783100000e-09
ell0821,2.5359900000e+03,1.2905900000e+01,9.7267000000e-02,9.0609600000e-09
ell0822,2.5343500000e+03,1.2836800000e+01,9.7370100000e-02,9.0436600000e-09
ell0823,2.5325100000e+03,1.2772700000e+01,9.7472000000e-02,9.0264100000e-09
ell0824,2.5303700000e+03,1.2714900000e+01,9.7572500000e-02,9.0092200000e-09
ell0825,2.5281700000e+03,1.2662000000e+01,9.7671700000e-02,8.9920700000e-09
ell0826,2.5256800000e+03,1.2616200000e+01,9.7769600000e-02,8.9749700000e-09
ell0827,2.5229700000e+03,1.2575300000e+01,9.7866100000e-02,8.9579200000e-09
ell0828,2.5202000000e+03,1.2540700000e+01,9.7961200000e-02,8.9409100000e-09
ell0829,2.5171400000e+03,1.2512600000e+01,9.8054900000e-02,8.9239600000e-09
ell0830,2.5139400000e+03,1.2490000000e+01,9.8147300000e-02,8.9070500000e-09
ell0831,2.5105300000e+03,1.2473100000e+01,9.8238100000e-02,8.8902000000e-09
ell0832,2.5069000000e+03,1.2461700000e+01,9.8327600000e-02,8.8733800000e-09
ell0833,2.5031400000e+03,1.2456700000e+01,9.8415500000e-02,8.8566200000e-09
ell0834,2.4990800000e+03,1.2457300000e+01,9.8502000000e-02,8.8399100000e-09
ell0835,2.4949600000e+03,1.2465000000e+01,9.8587000000e-02,8.8232400000e-09
ell0836,2.4904800000e+03,1.2477500000e+01,9.8670500000e-02,8.8066100000e-09
ell0837,2.4859300000e+03,1.2496400000e+01,9.8752500000e-02,8.7900400000e-09
ell0838,2.4811700000e+03,1.2521600000e+01,9.8832900000e-02,8.7735100000e-09
ell0839,2.4761200000e+03,1.2552400000e+01,9.8911800000e-02,8.7570300000e-09
ell0840,2.4710100000e+03,1.2590200000e+01,9.8989100000e-02,8.7405900000e-09
ell0841,2.4656800000e+03,1.2632900000e+01,9.9064800000e-02,8.7242000000e-09
ell0842,2.4601400000e+03,1.2681200000e+01,9.9139000000e-02,8.7078600000e-09
ell0843,2.4544600000e+03,1.2735800000e+01,9.9211500000e-02,8.6915600000e-09
ell0844,2.4484900000e+03,1.2796700000e+01,9.9282500000e-02,8.6753000000e-09
ell0845,2.4424500000e+03,1.2862400000e+01,9.9351800000e-02,8.6590900000e-09
ell0846,2.4362800000e+03,1.2935900000e+01,9.9419500000e-02,8.6429300000e-09
ell0847,2.4299600000e+03,1.3013500000e+01,9.9485500000e-02,8.6268100000e-09
ell0848,2.4234300000e+03,1.3097500000e+01,9.9549900000e-02,8.6107300000e-09
ell0849,2.4166100000e+03,1.3187000000e+01,9.9612700000e-02,8.5947000000e-09
ell0850,2.4098100000e+03,1.3282800000e+01,9.9673800000e-02,8.5787100000e-09
ell0851,2.4027100000e+03,1.3384200000e+01,9.9733100000e-02,8.5627700000e-09
ell0852,2.3954700000e+03,1.3491900000e+01,9.9790900000e-02,8.5468600000e-09
ell0853,2.3880900000e+03,1.3604400000e+01,9.9846900000e-02,8.5310100000e-09
ell0854,2.3805000000e+03,1.3723200000e+01,9.9901200000e-02,8.5151900000e-09
ell0855,2.3727000000e+03,1.3847600000e+01,9.9953800000e-02,8.4994200000e-09
ell0856,2.3649000000e+03,1.3976100000e+01,1.0000500000e-01,8.4836900000e-09
ell0857,2.3568100000e+03,1.4110800000e+01,1.0005400000e-01,8.4680100000e-09
ell0858,2.3485900000e+03,1.4252600000e+01,1.0010100000e-01,8.4523700000e-09
ell0859,2.3402200000e+03,1.4397000000e+01,1.0014700000e-01,8.4367700000e-09
ell0860,2.3317900000e+03,1.4547700000e+01,1.0019100000e-01,8.4212100000e-09
ell0861,2.3231500000e+03,1.4704000000e+01,1.0023400000e-01,8.4056900000e-09
ell0862,2.3143600000e+03,1.4865000000e+01,1.0027400000e-01,8.3902200000e-09
ell0863,2.3054300000e+03,1.5031700000e+01,1.0031300000e-01,8.3747900000e-09
ell0864,2.2963700000e+03,1.5202300000e+01,1.0035000000e-01,8.3593900000e-09
ell0865,2.2870100000e+03,1.5378600000e+01,1.0038600000e-01,8.3440500000e-09
ell0866,2.2778900000e+03,1.5559600000e+01,1.0041900000e-01,8.3287400000e-09
ell0867,2.2684000000e+03,1.5746300000e+01,1.0045100000e-01,8.3134700000e-09
ell0868,2.2588500000e+03,1.5936900000e+01,1.0048200000e-01,8.2982500000e-09
ell0869,2.2491500000e+03,1.6132500000e+01,1.0051000000e-01,8.2830600000e-09
ell0870,2.2393200000e+03,1.6332000000e+01,1.0053700000e-01,8.2679200000e-09
ell0871,2.2294100000e+03,1.6536500000e+01,1.0056200000e-01,8.2528200000e-09
ell0872,2.2193700000e+03,1.6745700000e+01,1.0058500000e-01,8.2377500000e-09
ell0873,2.2091900000e+03,1.6959000000e+01,1.0060700000e-01,8.2227300000e-09
ell0874,2.1989400000e+03,1.7177100000e+01,1.0062700000e-01,8.2077500000e-09
ell0875,2.1885500000e+03,1.7397900000e+01,1.0064500000e-01,8.1928100000e-09
ell0876,2.1780100000e+03,1.7624200000e+01,1.0066200000e-01,8.1779100000e-09
ell0877,2.1675600000e+03,1.7853900000e+01,1.0067700000e-01,8.1630400000e-09
ell0878,2.1568200000e+03,1.8086900000e+01,1.0069100000e-01,8.1482200000e-09
ell0879,2.1460800000e+03,1.8324800000e+01,1.0070200000e-01,8.1334400000e-09
ell0880,2.1352800000e+03,1.8566000000e+01,1.0071200000e-01,8.1186900000e-09
ell0881,2.1243300000e+03,1.8809900000e+01,1.0072100000e-01,8.1039900000e-09
ell0882,2.1133200000e+03,1.9057900000e+01,1.0072800000e-01,8.0893200000e-09
ell0883,2.1023100000e+03,1.9310000000e+01,1.0073300000e-01,8.0746900000e-09
ell0884,2.0910900000e+03,1.9564000000e+01,1.0073600000e-01,8.0601000000e-09
ell0885,2.0798000000e+03,1.9822100000e+01,1.0073900000e-01,8.0455500000e-09
ell0886,2.0685100000e+03,2.0083600000e+01,1.0073900000e-01,8.0310400000e-09
ell0887,2.0570800000e+03,2.0347000000e+01,1.0073800000e-01,8.0165700000e-09
ell0888,2.0457300000e+03,2.0614600000e+01,1.0073600000e-01,8.0021300000e-09
ell0889,2.0340900000e+03,2.0883400000e+01,1.0073200000e-01,7.9877400000e-09
ell0890,2.0225300000e+03,2.1156300000e+01,1.0072600000e-01,7.9733700000e-09
ell0891,2.0109700000e+03,2.1431100000e+01,1.0071900000e-01,7.9590500000e-09
ell0892,1.9993400000e+03,2.1707900000e+01,1.0071100000e-01,7.9447700000e-09
ell0893,1.9875700000e+03,2.1988100000e+01,1.0070100000e-01,7.9305200000e-09
ell0894,1.9758700000e+03,2.2269500000e+01,1.0069000000e-01,7.9163100000e-09
ell0895,1.9640400000e+03,2.2552900000e+01,1.0067700000e-01,7.9021300000e-09
ell0896,1.9522000000e+03,2.2839000000e+01,1.0066300000e-01,7.8880000000e-09
ell0897,1.9402900000e+03,2.3127100000e+01,1.0064700000e-01,7.8739000000e-09
ell0898,1.9284700000e+03,2.3416400000e+01,1.0063100000e-01,7.8598300000e-09
ell0899,1.9165700000e+03,2.3707700000e+01,1.0061300000e-01,7.8458000000e-09
ell0900,1.9046000000e+03,2.4000300000e+01,1.0059300000e-01,7.8318100000e-09
ell0901,1.8927000000e+03,2.4294100000e+01,1.0057300000e-01,7.8178600000e-09
ell0902,1.8807400000e+03,2.4589200000e+01,1.0055100000e-01,7.8039400000e-09
ell0903,1.8686200000e+03,2.4885600000e+01,1.0052800000e-01,7.7900500000e-09
ell0904,1.8567400000e+03,2.5182500000e+01,1.0050400000e-01,7.7762100000e-09
ell0905,1.8447000000e+03,2.5481400000e+01,1.0047800000e-01,7.7623900000e-09
ell0906,1.8326700000e+03,2.5780200000e+01,1.0045200000e-01,7.7486200000e-09
