triad_id,day_A,day_B,day_C,side_AB,side_BC,side_CA,metric_triangle_area,triadic_imbalance,orientation_score,dominant_carrier,rank,classification
T245,2000,2014,2025,39.17866470882883,36.481284055004956,7.223275777699131,126.16538580520917,5.423946961818565,-1.0,Nuclear,1,LARGE_TRIADIC_STRUCTURE
T244,2000,2014,2024,39.17866470882883,36.4144716617125,7.166770537617042,124.39729648969768,5.466711192047705,-1.0,Nuclear,2,LARGE_TRIADIC_STRUCTURE
T243,2000,2014,2023,39.17866470882883,36.31773494874354,7.026002874809416,120.59226852226482,5.576238069770442,-1.0,Nuclear,3,LARGE_TRIADIC_STRUCTURE
T241,2000,2014,2021,39.17866470882883,36.113550302795424,6.995876484093234,117.85987355127924,5.600251061880626,-1.0,Nuclear,4,LARGE_TRIADIC_STRUCTURE
T240,2000,2014,2020,39.17866470882883,35.86064921823433,7.096571174718825,117.15530238849583,5.520787961431408,-1.0,Nuclear,5,LARGE_TRIADIC_STRUCTURE
T242,2000,2014,2022,39.17866470882883,35.88531657320742,6.973230167305361,114.84691299387819,5.618438480995745,-1.0,Nuclear,6,LARGE_TRIADIC_STRUCTURE
T521,2001,2014,2025,38.96233322754501,36.481284055004956,6.5068980222326305,113.03167084334311,5.987850600150693,-1.0,Nuclear,7,LARGE_TRIADIC_STRUCTURE
T239,2000,2014,2019,39.17866470882883,36.22782217999415,6.648397217603109,111.8741761765135,5.89294884563976,-1.0,Nuclear,8,LARGE_TRIADIC_STRUCTURE
T520,2001,2014,2024,38.96233322754501,36.4144716617125,6.4528855141637305,111.30933176204755,6.037970632211717,-1.0,Nuclear,9,LARGE_TRIADIC_STRUCTURE
T519,2001,2014,2023,38.96233322754501,36.31773494874354,6.3198548760114335,107.64402174675688,6.165067709930516,-1.0,Nuclear,10,LARGE_TRIADIC_STRUCTURE
T774,2002,2014,2025,38.77242429496364,36.481284055004956,6.1181591943534,106.37463279265792,6.337269604025287,-1.0,Nuclear,11,LARGE_TRIADIC_STRUCTURE
T238,2000,2014,2018,39.17866470882883,35.898902862328065,6.563419843754589,106.2994390102234,5.96924555208962,-1.0,Nuclear,12,LARGE_TRIADIC_STRUCTURE
