regime_id,time_window_start,time_window_end,member_points,within_regime_metric_variance,between_regime_distance,dominant_carriers,classification
R01,2000_pt0,2013_pt0,14,217.39324176084205,4.272237986121414,Nuclear;Wind;Solar,VOLATILE_REGIME
R02,2015_pt0,2025_pt0,11,10.365618595100607,0.0,Nuclear;Other Fossil;Bioenergy,VOLATILE_REGIME
