Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
54,61,115,Xe,-68656.757,8300.9704,0.1053,False,18.0,B+,,954611.596
55,60,115,Cs,-59699.0,8216.0,1.0,False,1.4,B+,,944840.0
56,59,115,Ba,-48920.0,8116.0,2.0,False,0.45,B+,,933340.0
41,75,116,Nb,-25230.0,8012.0,3.0,False,0.012,B- ?,,929392.0
42,74,116,Mo,-41210.0,8143.0,4.0,False,0.032,B-,,944588.0
43,73,116,Tc,-51214.0,8223.0,3.0,False,0.057,B-,,953868.0
44,72,116,Ru,-64068.917,8326.884,0.0321,False,0.20400000000000001,B-,,965918.544
45,71,116,Rh,-70735.742,8377.6123,0.6365,False,0.685,B-,,971803.0268000001
46,70,116,Pd,-79831.026,8449.2755,0.0615,False,11.8,B-,,980115.958
47,69,116,Ag,-82542.664,8465.9073,0.0281,False,229.8,B-,,982045.2468000001
48,68,116,Cd,-88712.489,8512.3511,0.0014,False,8.489639999999999e+26,IS,7.512,987432.7276
49,67,116,In,-88249.758,8501.6177,0.0019,False,14.1,B-~100,,986187.6532000001
50,66,116,Sn,-91525.979,8523.1166,0.0009,True,1e+30,IS,14.54,988681.5255999999
51,65,116,Sb,-86822.02,8475.8208,0.0444,False,948.0,B+,,983195.2128
52,64,116,Te,-85263.793,8455.6435,0.2087,False,8964.0,B+,,980854.6460000001
53,63,116,I,-77420.654,8381.2858,0.6469,False,2.91,B+,,972229.1527999999
54,62,116,Xe,-73046.877,8336.8365,0.1122,False,59.0,B+,,967073.034
55,61,116,Cs,-62043.0,8235.0,1.0,False,0.7000000000000001,B+,,955260.0
56,60,116,Ba,-54380.0,8162.0,2.0,False,1.3,B+,,946792.0
57,59,116,La,-40050.0,8032.0,3.0,False,0.01,B+ ?,,931712.0
42,75,117,Mo,-35689.0,8096.0,4.0,False,0.022,B-,,947232.0
43,74,117,Tc,-48140.0,8195.0,3.0,False,0.0445,B-,,958815.0
44,73,117,Ru,-59489.871,8285.5625,3.7021,False,0.151,B-,,969410.8125
45,72,117,Rh,-68896.758,8359.2766,0.076,False,0.421,B-,,978035.3621999999
46,71,117,Pd,-76423.89,8416.9243,0.062,False,4.3,B-,,984780.1431000001
47,70,117,Ag,-82181.918,8459.4515,0.116,False,73.6,B-,,989755.8254999999
48,69,117,Cd,-86418.397,8488.974,0.0087,False,9010.800000000001,B-,,993209.958
49,68,117,In,-88943.035,8503.8653,0.0417,False,2592.0,B-,,994952.2400999999
50,67,117,Sn,-90397.742,8509.612,0.0041,True,1e+30,IS,7.68,995624.6039999999
51,66,117,Sb,-88639.564,8487.8981,0.0721,False,10692.0,B+,,993084.0777
52,65,117,Te,-85095.5,8450.9203,0.115,False,3720.0,B+,,988757.6751
53,64,117,I,-80438.568,8404.4307,0.2184,False,133.20000000000002,B+,,983318.3919
54,63,117,Xe,-74185.347,8344.2976,0.0887,False,61.0,B+,,976282.8192
55,62,117,Cs,-66493.101,8271.8652,0.5334,False,8.4,B+,,967808.2284
56,61,117,Ba,-57457.906,8187.9546,2.1396,False,1.75,B+,,957990.6882
57,60,117,La,-46271.0,8086.0,2.0,False,0.0217,p~100,,946062.0
42,76,118,Mo,-32370.0,8067.0,4.0,False,0.021,B-,,951906.0
43,75,118,Tc,-43290.0,8153.0,3.0,False,0.03,B-,,962054.0
44,74,118,Ru,-57000.0,8263.0,2.0,False,0.099,B-,,975034.0
45,73,118,Rh,-64886.84,8322.8539,0.2054,False,0.28200000000000003,B-,,982096.7602
46,72,118,Pd,-75388.358,8405.2197,0.0211,False,1.9,B-,,991815.9245999999
47,71,118,Ag,-79553.802,8433.89,0.0213,False,3.76,B-,,995199.0199999999
48,70,118,Cd,-86701.649,8487.835,0.1695,False,3018.0,B-,,1001564.5299999999
49,69,118,In,-87228.177,8485.667,0.0657,False,5.0,B-,,1001308.7059999999
50,68,118,Sn,-91652.843,8516.5341,0.0042,True,1e+30,IS,24.22,1004951.0238000001
51,67,118,Sb,-87996.204,8478.9156,0.0256,False,216.0,B+,,1000512.0408000001
52,66,118,Te,-87690.758,8469.697,0.1551,False,518400.0,EC,,999424.246
53,65,118,I,-80971.056,8406.1203,0.1675,False,822.0,B+,,991922.1954000001
54,64,118,Xe,-78079.067,8374.9819,0.088,False,228.0,B+,,988247.8642000001
55,63,118,Cs,-68409.377,8286.4053,0.1081,False,14.0,B+,,977795.8254000001
56,62,118,Ba,-62200.0,8227.0,2.0,False,5.2,B+,,970786.0
57,61,118,La,-49620.0,8114.0,3.0,False,0.2,B+ ?,,957452.0
42,77,119,Mo,-26580.0,8019.0,3.0,False,0.012,B- ?,,954261.0
43,76,119,Tc,-40170.0,8126.0,4.0,False,0.022,B-,,966994.0
44,75,119,Ru,-52080.0,8220.0,3.0,False,0.0695,B-,,978180.0
45,74,119,Rh,-62822.802,8303.3953,0.0783,False,0.19,B-,,988104.0407
46,73,119,Pd,-71407.277,8368.9594,0.0693,False,0.92,B-,,995906.1686
47,72,119,Ag,-78645.759,8423.2126,0.1236,False,6.0,B-,,1002362.2994000001
48,71,119,Cd,-83976.939,8461.4381,0.3168,False,161.4,B-,,1006911.1338999999
49,70,119,In,-87698.658,8486.1387,0.0614,False,144.0,B-,,1009850.5053
50,69,119,Sn,-90064.985,8499.4494,0.0061,True,1e+30,IS,8.59,1011434.4785999999
51,68,119,Sb,-89475.539,8487.9218,0.0588,False,137484.0,EC,,1010062.6942
52,67,119,Te,-87182.539,8462.0785,0.0612,False,57780.0,B+,,1006987.3415
53,66,119,I,-83777.731,8426.8924,0.1824,False,1146.0,B+,,1002800.1956000001
54,65,119,Xe,-78794.488,8378.442,0.0872,False,348.0,B+,,997034.5979999999
55,64,119,Cs,-72305.061,8317.3347,0.1171,False,43.0,B+,,989762.8293
