Z,N,A,element,mass_excess_keV,binding_per_A_keV,binding_per_A_unc_keV,is_stable,halflife_s,primary_decay,isotopic_abundance,binding_total_keV
1,1,2,H,13135.722895,1112.2831,0.0002,True,1e+30,IS,0.0145,2224.5662
1,2,3,H,14949.8109,2827.2654,0.0003,False,388819200.0,B-,,8481.7962
2,1,3,He,14931.21888,2572.68044,0.00015,True,1e+30,IS,0.0002,7718.04132
1,3,4,H,24621.129,1720.4491,25.0,False,1.3899999999999998e-22,n,,6881.7964
2,2,4,He,2424.91587,7073.9156,0.0002,True,1e+30,IS,99.9998,28295.6624
3,1,4,Li,25323.19,1153.7603,53.033,False,9.099999999999999e-23,p,,4615.0412
1,4,5,H,32892.447,1336.3592,17.8885,False,8.599999999999999e-23,2n,,6681.796
2,3,5,He,11231.234,5512.1325,4.0,False,6.019999999999999e-22,n,,27560.6625
3,2,5,Li,11678.887,5266.1325,10.0,False,3.6999999999999995e-22,p,,26330.6625
4,1,5,Be,37139.0,18.0,401.0,False,,p ?,,90.0
1,5,6,H,41875.725,961.6395,42.3545,False,2.94e-22,n ?,,5769.8369999999995
2,4,6,He,17592.095,4878.5199,0.0089,False,0.80692,B-,,29271.119400000003
3,3,6,Li,14086.88044,5332.3312,0.0003,True,1e+30,IS,4.85,31993.987199999996
4,2,6,Be,18375.034,4487.2478,0.908,False,5e-21,2p,,26923.4868
1,6,7,H,49135.0,940.0,143.0,False,6.52e-22,2n ?,,6580.0
2,5,7,He,26073.128,4123.0578,1.0799,False,2.5099999999999994e-21,n,,28861.404599999998
3,4,7,Li,14907.10463,5606.4401,0.0006,True,1e+30,IS,95.15,39245.0807
4,3,7,Be,15768.998,5371.5487,0.0101,False,4598208.0,EC,,37600.8409
5,2,7,B,27676.553,3558.7055,3.5929,False,5.7e-22,p,,24910.9385
2,6,8,He,31609.683,3924.521,0.0111,False,0.11950000000000001,B-,,31396.168
3,5,8,Li,20945.805,5159.7124,0.0059,False,0.8387000000000001,B-,,41277.6992
4,4,8,Be,4941.672,7062.4356,0.0044,False,8.190000000000001e-17,A,,56499.4848
5,3,8,B,22921.569,4717.1551,0.125,False,0.7719,B+,,37737.2408
6,2,8,C,35064.269,3101.5242,2.2804,False,3.4999999999999996e-21,2p,,24812.1936
2,7,9,He,40935.826,3349.038,5.2018,False,2.5e-21,n,,30141.342
3,6,9,Li,24954.905,5037.7685,0.0207,False,0.1782,B-,,45339.9165
4,5,9,Be,11348.451,6462.6693,0.0085,True,1e+30,IS,100.0,58164.0237
5,4,9,B,12416.486,6257.0713,0.1003,False,7.999999999999999e-19,p,,56313.64169999999
6,3,9,C,28910.971,4337.4233,0.2374,False,0.1265,B+,,39036.809700000005
2,8,10,He,49197.147,2995.134,9.2848,False,2.6e-22,2n,,29951.34
3,7,10,Li,33052.628,4531.3512,1.2721,False,2e-21,n,,45313.512
4,6,10,Be,12607.487,6497.6306,0.0081,False,43773720000000.0,B-,,64976.306000000004
5,5,10,B,12050.611,6475.0835,0.0015,True,1e+30,IS,19.65,64750.835
6,4,10,C,15698.673,6032.0426,0.007,False,19.3011,B+,,60320.426
7,3,10,N,38800.027,3643.6724,40.0,False,1.43e-22,p ?,,36436.724
3,8,11,Li,40728.259,4155.3817,0.0559,False,0.00875,B-,,45709.1987
4,7,11,Be,20177.169,5952.5402,0.0216,False,13.76,B-,,65477.942200000005
5,6,11,B,8667.708,6927.7323,0.0011,True,1e+30,IS,80.35,76205.05529999999
6,5,11,C,10649.397,6676.4563,0.0054,False,1220.412,B+,,73441.0193
7,4,11,N,24365.644,5358.4023,0.4546,False,5.85e-22,p,,58942.425299999995
8,3,11,O,47738.913,3162.4372,5.458,False,1.9799999999999998e-22,2p,,34786.809199999996
3,9,12,Li,49009.577,3791.5999,2.5005,False,,n ?,,45499.1988
4,8,12,Be,25077.761,5720.7223,0.159,False,0.02146,B-,,68648.6676
5,7,12,B,13369.398,6631.2237,0.1101,False,0.0202,B-,,79574.6844
6,6,12,C,0.0,7680.1446,0.0002,True,1e+30,IS,98.94,92161.7352
7,5,12,N,17338.068,6170.11,0.0833,False,0.011,B+,,74041.31999999999
8,4,12,O,32013.335,4881.9755,1.0,False,8.899999999999999e-21,2p,,58583.70599999999
3,10,13,Li,56980.895,3507.6307,5.3848,False,3.2999999999999993e-21,2n,,45599.199100000005
4,9,13,Be,33659.08,5241.4359,0.7831,False,1e-21,n ?,,68138.6667
5,8,13,B,16561.948,6496.4194,0.0769,False,0.01716,B-,,84453.4522
6,7,13,C,3125.00933,7469.8495,0.0002,True,1e+30,IS,1.06,97108.0435
7,6,13,N,5345.481,7238.8634,0.0207,False,597.9,B+,,94105.2242
8,5,13,O,23115.432,5811.7636,0.7328,False,0.00858,B+,,75552.9268
9,4,13,F,42030.0,4297.0,38.0,False,,p ?,,55861.0
4,10,14,Be,39954.502,4993.8973,9.4461,False,0.00453,B-,,69914.5622
5,9,14,B,23663.686,6101.6451,1.5152,False,0.01236,B-,,85423.03139999999
6,8,14,C,3019.89328,7520.3198,0.0004,False,179892000000.0,B-,,105284.47720000001
7,7,14,N,2863.41683,7475.6148,0.0002,True,1e+30,IS,99.6205,104658.6072
8,6,14,O,8007.781,7052.2783,0.0018,False,70.621,B+,,98731.8962
9,5,14,F,31964.403,5285.2091,2.9371,False,5e-22,p ?,,73992.9274
4,11,15,Be,49825.821,4540.9708,11.0532,False,7.9e-22,n,,68114.562
5,10,15,B,28957.379,5880.0438,1.4019,False,0.01018,B-,,88200.657
6,9,15,C,9873.145,7100.1696,0.0533,False,2.449,B-,,106502.54400000001
7,8,15,N,101.43809,7699.4603,0.0002,True,1e+30,IS,0.3795,115491.90449999999
8,7,15,O,2855.622,7463.6915,0.0327,False,122.266,B+,,111955.3725
9,6,15,F,16566.752,6497.4597,0.9333,False,1.1e-21,p,,97461.8955
10,5,15,Ne,40215.374,4868.7285,4.4456,False,7.699999999999999e-22,2p,,73030.9275
4,12,16,Be,57447.139,4285.2851,10.3623,False,6.4999999999999995e-22,2n,,68564.5616
5,11,16,B,37111.699,5507.3535,1.5354,False,4.599999999999999e-21,n ?,,88117.656
6,10,16,C,13694.133,6922.0546,0.2236,False,0.75,B-,,110752.8736
7,9,16,N,5683.907,7373.7971,0.1438,False,7.13,B-,,117980.7536
8,8,16,O,-4737.00217,7976.2072,0.0002,True,1e+30,IS,99.757,127619.3152
9,7,16,F,10675.182,6964.049,0.3353,False,2.1e-20,p,,111424.784
10,6,16,Ne,23986.775,6083.1777,1.28,False,5.7e-21,2p,,97330.8432
5,12,17,B,43716.322,5269.6677,12.0061,False,0.00508,B-,,89584.3509
6,11,17,C,21031.88,6558.0262,1.0215,False,0.193,B-,,111486.4454
7,10,17,N,7870.079,7286.2294,0.8824,False,4.173,B-,,123865.8998
8,9,17,O,-808.76421,7750.7291,0.0002,True,1e+30,IS,0.03835,131762.3947
9,8,17,F,1951.701,7542.3284,0.0146,False,64.37,B+,,128219.5828
10,7,17,Ne,16500.452,6640.4991,0.0208,False,0.1092,B+,,112888.4847
11,6,17,Na,34719.58,5522.7653,3.5068,False,,p,,93887.0101
5,13,18,B,51792.64,4976.6306,11.3425,False,,n,,89579.35080000001
6,12,18,C,24919.266,6426.1321,1.6667,False,0.092,B-,,115670.3778
7,11,18,N,13113.167,7038.5627,1.0316,False,0.6192000000000001,B-,,126694.12860000001
8,10,18,O,-782.81634,7767.0981,0.0002,True,1e+30,IS,0.2045,139807.7658
9,9,18,F,873.112,7631.6383,0.0257,False,6584.04,B+,,137369.4894
10,8,18,Ne,5317.617,7341.2577,0.0202,False,1.6642000000000001,B+,,132142.6386
11,7,18,Na,25037.992,6202.2176,5.2156,False,1.2999999999999999e-21,p,,111639.9168
5,14,19,B,59770.251,4719.6346,27.6507,False,0.00292,B-,,89673.0574
6,13,19,C,32413.754,6118.274,5.1784,False,0.046200000000000005,B-,,116247.206
7,12,19,N,15856.255,6948.5452,0.8634,False,0.336,B-,,132022.3588
8,11,19,O,3332.858,7566.4952,0.1388,False,26.47,B-,,143763.4088
9,10,19,F,-1487.44512,7779.0192,0.0002,True,1e+30,IS,100.0,147801.36479999998
10,9,19,Ne,1752.054,7567.3431,0.0084,False,17.2569,B+,,143779.5189
11,8,19,Na,12929.384,6937.8864,0.5545,False,1e-18,p,,131819.8416
12,7,19,Mg,31838.394,5901.4992,3.1579,False,5e-12,2p,,112128.4848
5,15,20,B,69401.569,4405.6529,27.3178,False,9.123999999999998e-22,n,,88113.058
6,14,20,C,37503.567,5961.4356,11.5312,False,0.016,B-,,119228.712
7,13,20,N,21766.498,6709.1717,3.9447,False,0.136,B-,,134183.434
8,12,20,O,3796.172,7568.5707,0.0442,False,13.51,B-,,151371.414
9,11,20,F,-17.463,7720.1351,0.0015,False,11.0062,B-,,154402.70200000002
10,10,20,Ne,-7041.93217,8032.2412,0.0002,True,1e+30,IS,90.48,160644.82400000002
11,9,20,Na,6850.489,7298.5028,0.0554,False,0.44789999999999996,B+,,145970.056
12,8,20,Mg,17477.694,6728.0252,0.0931,False,0.09040000000000001,B+,,134560.50400000002
5,16,21,B,78382.887,4152.5265,26.6031,False,7.5999999999999995e-22,2n,,87203.0565
6,15,21,C,45643.0,5674.0,28.0,False,,n ?,,119154.0
7,14,21,N,25231.915,6609.0159,6.3832,False,0.085,B-,,138789.3339
8,13,21,O,8062.034,7389.3747,0.5714,False,3.42,B-,,155176.8687
9,12,21,F,-47.605,7738.2934,0.0857,False,4.158,B-,,162504.16139999998
10,11,21,Ne,-5731.776,7971.7136,0.0018,True,1e+30,IS,0.27,167405.9856
11,10,21,Na,-2184.857,7765.5581,0.002,False,22.455,B+,,163076.7201
12,9,21,Mg,10903.851,7105.0317,0.0359,False,0.12,B+,,149205.66569999998
13,8,21,Al,27090.0,6297.0,29.0,False,,p ?,,132237.0
6,16,22,C,53611.203,5421.0778,10.5223,False,0.006200000000000001,B-,,119263.7116
7,15,22,N,31764.805,6378.5347,9.4445,False,0.023,B-,,140327.7634
8,14,22,O,9283.032,7364.8722,2.5873,False,2.25,B-,,162027.18839999998
9,13,22,F,2793.376,7624.2954,0.5636,False,4.23,B-,,167734.4988
10,12,22,Ne,-8024.716,8080.4656,0.0008,True,1e+30,IS,9.25,177770.2432
11,11,22,Na,-5181.391,7915.6624,0.006,False,82115964.0,B+,,174144.5728
12,10,22,Mg,-399.986,7662.7645,0.0072,False,3.8745,B+,,168580.81900000002
13,9,22,Al,18201.0,6782.0,18.0,False,0.0911,B+,,149204.0
14,8,22,Si,33640.0,6044.0,23.0,False,0.0287,B+,,132968.0
6,17,23,C,64171.0,5077.0,43.0,False,,n ?,,116771.0
7,16,23,N,36720.429,6236.6721,18.2856,False,0.013900000000000001,B-,,143443.4583
8,15,23,O,14621.371,7163.4856,5.2918,False,0.097,B-,,164760.16879999998
9,14,23,F,3285.263,7622.3447,1.4487,False,2.23,B-,,175313.9281
10,13,23,Ne,-5154.045,7955.2561,0.0045,False,37.15,B-,,182970.8903
11,12,23,Na,-9529.85352,8111.4936,0.0002,True,1e+30,IS,100.0,186564.3528
12,11,23,Mg,-5473.675,7901.1229,0.0014,False,11.3039,B+,,181725.8267
13,10,23,Al,6748.071,7335.7275,0.015,False,0.446,B+,,168721.7325
14,9,23,Si,23950.0,6554.0,22.0,False,0.0423,B+,,150742.0
7,17,24,N,46938.0,5887.0,17.0,False,,n ?,,141288.0
8,16,24,O,18500.404,7039.6855,6.8698,False,0.07740000000000001,B-,,168952.452
9,15,24,F,7544.516,7463.5831,4.0696,False,0.384,B-,,179125.9944
10,14,24,Ne,-5951.642,7993.3252,0.0214,False,202.79999999999998,B-,,191839.8048
11,13,24,Na,-8417.901,8063.4882,0.0007,False,53841.6,B-,,193523.7168
12,12,24,Mg,-13933.578,8260.7103,0.0006,True,1e+30,IS,78.965,198257.04720000003
13,11,24,Al,-48.812,7649.5806,0.0095,False,2.053,B+,,183589.9344
14,10,24,Si,10745.186,7167.2329,0.8113,False,0.1432,B+,,172013.5896
15,9,24,P,34020.0,6165.0,21.0,False,,p ?,,147960.0
7,18,25,N,55983.0,5613.0,20.0,False,,n ?,,140325.0
8,17,25,O,27329.03,6727.8058,6.6034,False,5.179999999999999e-21,n,,168195.145
9,16,25,F,11334.167,7336.3065,3.8577,False,0.08,B-,,183407.6625
10,15,25,Ne,-2035.503,7839.7994,1.1618,False,0.602,B-,,195994.985
11,14,25,Na,-9357.814,8101.3979,0.048,False,59.1,B-,,202534.9475
12,13,25,Mg,-13192.782,8223.5028,0.0019,True,1e+30,IS,10.011,205587.57
13,12,25,Al,-8915.974,8021.1366,0.0026,False,7.1666,B+,,200528.415
14,11,25,Si,3827.322,7480.1109,0.4,False,0.2206,B+,,187002.7725
15,10,25,P,20190.0,6794.0,16.0,False,,p ?,,169850.0
8,18,26,O,34661.041,6497.479,6.3442,False,4.2e-12,2n,,168934.454
9,17,26,F,18674.655,7082.2497,4.1164,False,0.008199999999999999,B-,,184138.4922
10,16,26,Ne,481.114,7751.911,0.7088,False,0.197,B-,,201549.686
11,15,26,Na,-6860.78,8004.2013,0.1347,False,1.07128,B-,,208109.2338
12,14,26,Mg,-16214.544,8333.8711,0.0011,True,1e+30,IS,11.025,216680.64860000001
13,13,26,Al,-12210.139,8149.7653,0.0026,False,22628520000000.0,B+,,211893.8978
14,12,26,Si,-7141.003,7924.7083,0.0041,False,2.2453,B+,,206042.41580000002
15,11,26,P,10973.0,7198.0,8.0,False,0.0436,B+,,187148.0
16,10,26,S,27680.0,6525.0,23.0,False,,2p ?,,169650.0
8,19,27,O,44670.0,6185.0,19.0,False,,n ?,,166995.0
9,18,27,F,25133.478,6879.6662,4.4518,False,0.005,B-,,185750.98739999998
10,17,27,Ne,7050.91,7520.4151,3.3619,False,0.0309,B-,,203051.2077
11,16,27,Na,-5517.791,7956.9467,0.138,False,0.301,B-,,214837.5609
12,15,27,Mg,-14586.594,8263.8525,0.0018,False,566.1,B-,,223124.01750000002
13,14,27,Al,-17196.864,8331.5533,0.0018,True,1e+30,IS,100.0,224951.9391
14,13,27,Si,-12384.505,8124.342,0.004,False,4.117,B+,,219357.234
15,12,27,P,-659.032,7661.0894,0.3334,False,0.26,B+,,206849.4138
16,11,27,S,17491.0,6960.0,15.0,False,0.016300000000000002,B+,,187920.0
8,20,28,O,52080.0,5988.0,25.0,False,,2n ?,,167664.0
9,19,28,F,33403.796,6626.8567,4.2981,False,4.6e-20,n,,185551.9876
10,18,28,Ne,11299.738,7388.3463,4.5024,False,0.0188,B-,,206873.69640000002
11,17,28,Na,-988.315,7799.2644,0.3659,False,0.033100000000000004,B-,,218379.4032
12,16,28,Mg,-15019.946,8272.4531,0.0093,False,75294.0,B-,,231628.68680000002
13,15,28,Al,-16850.719,8309.8969,0.0018,False,134.70000000000002,B-,,232677.1132
14,14,28,Si,-21492.79711,8447.7445,0.0002,True,1e+30,IS,92.2545,236536.84600000002
15,13,28,P,-7147.856,7907.4842,0.041,False,0.27030000000000004,B+,,221409.5576
16,12,28,S,4073.203,7478.7911,5.7143,False,0.125,B+,,209406.1508
17,11,28,Cl,28270.0,6587.0,18.0,False,,p,,184436.0
9,20,29,F,40150.19,6444.0314,18.116,False,0.0025,B-,,186876.9106
10,19,29,Ne,18399.803,7167.0673,5.1553,False,0.0147,B-,,207844.9517
11,18,29,Na,2679.994,7682.1522,0.253,False,0.0432,B-,,222782.4138
12,17,29,Mg,-10612.36,8113.5317,0.0119,False,1.3,B-,,235292.41929999998
13,16,29,Al,-18207.762,8348.4647,0.0119,False,393.59999999999997,B-,,242105.4763
14,15,29,Si,-21895.08154,8448.6361,0.0002,True,1e+30,IS,4.672,245010.44689999998
15,14,29,P,-16952.849,8251.2368,0.0124,False,4.102,B+,,239285.8672
16,13,29,S,-3094.423,7746.3826,0.4497,False,0.188,B+,,224645.0954
17,12,29,Cl,14022.0,7129.0,7.0,False,5.4e-21,p,,206741.0
18,11,29,Ar,37969.0,6276.0,15.0,False,,2p,,182004.0
9,21,30,F,48960.0,6205.0,17.0,False,,n ?,,186150.0
10,20,30,Ne,23280.12,7034.5317,8.4417,False,0.00722,B-,,211035.951
11,19,30,Na,8474.67,7501.9685,0.1576,False,0.045899999999999996,B-,,225059.055
12,18,30,Mg,-8881.373,8054.425,0.0432,False,0.317,B-,,241632.75
13,17,30,Al,-15864.116,8261.1049,0.0645,False,3.62,B-,,247833.147
14,16,30,Si,-24432.962,8520.6549,0.0008,True,1e+30,IS,3.0735,255619.647
15,15,30,P,-20200.856,8353.5064,0.0022,False,150.0,B+,,250605.192
16,14,30,S,-14059.254,8122.7081,0.0069,False,1.1798,B+,,243681.243
17,13,30,Cl,4674.548,7472.1698,0.7959,False,,p,,224165.09399999998
18,12,30,Ar,22071.0,6866.0,6.0,False,1e-11,2p,,205980.0
9,22,31,F,56843.0,6011.0,17.0,False,0.002,B- ?,,186341.0
10,21,31,Ne,31181.594,6813.0902,8.5869,False,0.0034,B-,,211205.79619999998
11,20,31,Na,12246.031,7398.6778,0.4507,False,0.016800000000000002,B-,,229359.0118
12,19,31,Mg,-3122.152,7869.1886,0.0992,False,0.27,B-,,243944.84660000002
13,18,31,Al,-14950.709,8225.518,0.0721,False,0.644,B-,,254991.058
14,17,31,Si,-22949.037,8458.2916,0.0014,False,9429.6,B-,,262207.0396
15,16,31,P,-24440.54442,8481.1677,0.0002,True,1e+30,IS,100.0,262916.1987
16,15,31,S,-19042.531,8281.8013,0.0074,False,2.5534,B+,,256735.84029999998
17,14,31,Cl,-7034.552,7869.2101,0.1112,False,0.19,B+,,243945.5131
18,13,31,Ar,11325.0,7252.0,6.0,False,0.015,B+,,224812.0
19,12,31,K,34260.0,6487.0,10.0,False,1e-11,3p,,201097.0
10,22,32,Ne,36999.0,6671.0,16.0,False,0.0035,B-,,213472.0
11,21,32,Na,18640.152,7219.8815,1.1644,False,0.0129,B-,,231036.208
12,20,32,Mg,-828.901,7803.8411,0.1019,False,0.08040000000000001,B-,,249722.9152
13,19,32,Al,-11099.368,8100.3449,0.2241,False,0.032600000000000004,B-,,259211.0368
14,18,32,Si,-24077.689,8481.469,0.0093,False,4954920000.0,B-,,271407.008
15,17,32,P,-24304.876,8464.1203,0.0013,False,1232841.6,B-,,270851.8496
16,16,32,S,-26015.53714,8493.1301,0.0002,True,1e+30,IS,94.85,271780.1632
17,15,32,Cl,-13334.706,8072.4058,0.0176,False,0.298,B+,,258316.9856
18,14,32,Ar,-2200.352,7700.0089,0.0553,False,0.098,B+,,246400.2848
19,13,32,K,21990.0,6920.0,12.0,False,,p ?,,221440.0
10,23,33,Ne,46130.0,6436.0,18.0,False,,n ?,,212388.0
11,22,33,Na,23780.113,7089.9262,13.6337,False,0.008199999999999999,B-,,233967.56459999998
12,21,33,Mg,4962.873,7636.4382,0.0807,False,0.092,B-,,252002.4606
13,20,33,Al,-8497.382,8020.6172,0.2117,False,0.041460000000000004,B-,,264680.3676
14,19,33,Si,-20514.328,8361.0596,0.0212,False,6.18,B-,,275914.9668
15,18,33,P,-26337.35,8513.8073,0.033,False,2190240.0,B-,,280955.6409
16,17,33,S,-26585.8583,8497.6304,0.0002,True,1e+30,IS,0.763,280421.8032
17,16,33,Cl,-21003.34,8304.7557,0.0118,False,2.5038,B+,,274056.93809999997
18,15,33,Ar,-9384.295,7928.9559,0.0121,False,0.17300000000000001,B+,,261655.5447
19,14,33,K,7540.0,7392.0,6.0,False,,p ?,,243936.0
20,13,33,Ca,31030.0,6657.0,12.0,False,,p ?,,219681.0
10,24,34,Ne,52842.0,6287.0,15.0,False,0.002,B- ?,,213758.0
11,23,34,Na,31680.114,6886.4377,17.6299,False,0.0055,B-,,234138.8818
12,22,34,Mg,8323.324,7550.3919,0.2027,False,0.0449,B-,,256713.3246
13,21,34,Al,-2997.619,7860.3506,0.0619,False,0.05373,B-,,267251.9204
14,20,34,Si,-19991.684,8337.1659,0.0236,False,2.77,B-,,283463.6406
15,19,34,P,-24548.702,8448.1856,0.0238,False,12.43,B-,,287238.3104
16,18,34,S,-29931.689,8583.4986,0.0013,True,1e+30,IS,4.365,291838.9524
17,17,34,Cl,-24440.086,8398.9706,0.0014,False,1.5267,B+,,285565.0004
18,16,34,Ar,-18378.293,8197.6724,0.0023,False,0.8464600000000001,B+,,278720.8616
19,15,34,K,-1220.0,7670.0,6.0,False,,p ?,,260780.0
20,14,34,Ca,14890.0,7173.0,9.0,False,,2p ?,,243882.0
11,24,35,Na,37831.0,6745.0,19.0,False,0.0015,B-,,236075.0
12,23,35,Mg,15639.786,7356.2338,7.7048,False,0.011300000000000001,B-,,257468.183
13,22,35,Al,-223.73,7787.1243,0.2103,False,0.03816,B-,,272549.3505
14,21,35,Si,-14391.48,8169.5644,1.0245,False,0.78,B-,,285934.754
15,20,35,P,-24857.809,8446.2496,0.0533,False,47.3,B-,,295618.736
16,19,35,S,-28846.21,8537.8511,0.0012,False,7548768.0,B-,,298824.7885
17,18,35,Cl,-29013.532,8520.279,0.001,True,1e+30,IS,75.8,298209.765
18,17,35,Ar,-23047.289,8327.4621,0.0194,False,1.7756,B+,,291461.17350000003
19,16,35,K,-11172.893,7965.8409,0.0146,False,0.1752,B+,,278804.4315
20,15,35,Ca,5190.0,7476.0,6.0,False,0.0257,B+,,261660.0
21,14,35,Sc,27100.0,6828.0,11.0,False,,p ?,,238980.0
11,25,36,Na,45903.0,6557.0,19.0,False,,n ?,,236052.0
12,24,36,Mg,20380.159,7244.4202,19.1733,False,0.0039,B-,,260799.1272
13,23,36,Al,5950.384,7623.5154,4.1529,False,0.09,B-,,274446.5544
14,22,36,Si,-12436.125,8112.5199,1.9944,False,0.503,B-,,292050.71640000003
15,21,36,P,-20251.045,8307.8692,0.3643,False,5.6,B-,,299083.2912
16,20,36,S,-30664.141,8575.39,0.0052,True,1e+30,IS,0.0158,308714.04
17,19,36,Cl,-29522.008,8521.9322,0.001,False,9509028000000.0,B-,,306789.55919999996
18,18,36,Ar,-30231.542,8519.9096,0.0008,True,1e+30,IS,0.3336,306716.7456
19,17,36,K,-17417.182,8142.2233,0.009,False,0.341,B+,,293120.0388
20,16,36,Ca,-6451.166,7815.8799,1.1111,False,0.1009,B+,,281371.6764
21,15,36,Sc,16150.0,7166.0,8.0,False,,p ?,,257976.0
11,26,37,Na,53134.0,6403.0,19.0,False,0.001,B- ?,,236911.0
12,25,37,Mg,28211.478,7055.1115,18.8905,False,0.008,B- ?,,261039.1255
13,24,37,Al,9809.564,7531.316,4.8715,False,0.0114,B-,,278658.692
14,23,37,Si,-6571.512,7952.9033,3.0759,False,0.14100000000000001,B-,,294257.4221
15,22,37,P,-18996.012,8267.5561,1.0256,False,2.31,B-,,305899.5757
16,21,37,S,-26896.426,8459.9363,0.0054,False,303.0,B-,,313017.6431
17,20,37,Cl,-31761.552,8570.2816,0.0014,True,1e+30,IS,24.2,317100.4192
18,19,37,Ar,-30947.679,8527.1406,0.0056,False,3024950.4000000004,EC,,315504.2022
19,18,37,K,-24800.201,8339.848,0.0025,False,1.23651,B+,,308574.376
20,17,37,Ca,-13136.07,8003.4567,0.0171,False,0.181,B+,,296127.8979
21,16,37,Sc,3780.0,7525.0,8.0,False,,p ?,,278425.0
22,15,37,Ti,25170.0,6926.0,11.0,False,,p ?,,256262.0
11,27,38,Na,61905.0,6216.0,19.0,False,,n ?,,236208.0
12,26,38,Mg,34074.0,6928.0,13.0,False,0.002,B-,,263264.0
13,25,38,Al,16470.0,7370.0,4.0,False,0.009000000000000001,B-,,280060.0
14,24,38,Si,-4170.299,7892.8297,2.7577,False,0.063,B-,,299927.5286
15,23,38,P,-14621.565,8147.2749,1.91,False,0.64,B-,,309596.4462
16,22,38,S,-26861.216,8448.7829,0.1887,False,10218.0,B-,,321053.7502
17,21,38,Cl,-29798.116,8505.4817,0.0026,False,2233.7999999999997,B-,,323208.30460000003
18,20,38,Ar,-34714.827,8614.2807,0.0051,True,1e+30,IS,0.0629,327342.6666
19,19,38,K,-28800.76,8438.0593,0.0051,False,459.06,B+,,320646.25340000005
20,18,38,Ca,-22058.503,8240.0434,0.0051,False,0.4437,B+,,313121.64920000004
21,17,38,Sc,-4249.0,7751.0,5.0,False,,p ?,,294538.0
22,16,38,Ti,11370.0,7319.0,8.0,False,,2p ?,,278122.0
11,28,39,Na,69977.0,6056.0,19.0,False,0.001,B- ?,,236184.0
12,27,39,Mg,42775.0,6734.0,13.0,False,,n ?,,262626.0
13,26,39,Al,21490.0,7260.0,8.0,False,0.0076,B-,,283140.0
14,25,39,Si,2320.352,7730.9793,3.4752,False,0.0412,B-,,301508.1927
15,24,39,P,-12774.636,8097.9701,2.8883,False,0.28200000000000003,B-,,315820.83389999997
16,23,39,S,-23162.672,8344.2698,1.2821,False,11.5,B-,,325426.5222
17,22,39,Cl,-29800.218,8494.4032,0.0444,False,3372.0,B-,,331281.7248
18,21,39,Ar,-33242.195,8562.5988,0.1282,False,8458080000.0,B-,,333941.3532
19,20,39,K,-33807.19535,8557.0258,0.0003,True,1e+30,IS,93.2581,333724.0062
20,19,39,Ca,-27282.707,8369.6711,0.0153,False,0.8603,B+,,326417.1729
21,18,39,Sc,-14172.726,8013.4575,0.6154,False,,p,,312524.8425
22,17,39,Ti,2500.0,7566.0,5.0,False,0.0285,B+,,295074.0
23,16,39,V,22570.0,7031.0,10.0,False,,p ?,,274209.0
12,28,40,Mg,49550.0,6598.0,13.0,False,0.001,B- ?,,263920.0
13,27,40,Al,28820.0,7097.0,7.0,False,0.01,B- ?,,283880.0
14,26,40,Si,5666.876,7655.8247,3.0498,False,0.0312,B-,,306232.988
15,25,40,P,-8139.189,7981.4177,2.0902,False,0.15,B-,,319256.708
16,24,40,S,-22837.85,8329.3255,0.0996,False,8.8,B-,,333173.02
17,23,40,Cl,-27557.818,8427.766,0.8016,False,81.0,B-,,337110.64
18,22,40,Ar,-35039.89997,8595.2594,0.0002,True,1e+30,IS,99.6035,343810.37600000005
19,21,40,K,-33535.497,8538.0907,0.0014,False,3.938688e+16,IS,0.0117,341523.628
20,20,40,Ca,-34846.402,8551.3046,0.0006,True,1e+30,IS,96.941,342052.184
21,19,40,Sc,-20523.353,8173.6697,0.0707,False,0.18230000000000002,B+,,326946.788
22,18,40,Ti,-8993.439,7865.8632,1.7061,False,0.0524,B+,,314634.528
23,17,40,V,12470.0,7310.0,7.0,False,,p ?,,292400.0
12,29,41,Mg,58100.0,6425.0,12.0,False,,B- ?,,263425.0
13,28,41,Al,34590.0,6980.0,10.0,False,0.006,B- ?,,286180.0
14,27,41,Si,13200.0,7482.0,7.0,False,0.02,B-,,306762.0
15,26,41,P,-4979.767,7906.5513,2.9308,False,0.101,B-,,324168.6033
16,25,41,S,-19008.58,8229.6358,0.1,False,1.99,B-,,337415.0678
17,24,41,Cl,-27307.192,8412.9593,1.6762,False,38.4,B-,,344931.3313
18,23,41,Ar,-33067.51,8534.3733,0.0085,False,6576.6,B-,,349909.30529999995
19,22,41,K,-35559.5488,8576.0731,0.0003,True,1e+30,IS,6.7302,351618.9971
20,21,41,Ca,-35137.908,8546.7075,0.0034,False,3137064000000.0,EC,,350415.0075
21,20,41,Sc,-28642.36,8369.1979,0.0019,False,0.5962999999999999,B+,,343137.1139
22,19,41,Ti,-15697.539,8034.3889,0.6816,False,0.0819,B+,,329409.9449
23,18,41,V,310.0,7625.0,5.0,False,,p ?,,312625.0
24,17,41,Cr,20410.0,7116.0,10.0,False,,p ?,,291756.0
13,29,42,Al,41990.0,6829.0,12.0,False,0.003,B- ?,,286818.0
14,28,42,Si,16840.0,7410.0,7.0,False,0.0125,B-,,311220.0
15,27,42,P,1091.842,7765.9122,2.2621,False,0.0485,B-,,326168.3124
16,26,42,S,-17637.748,8193.2275,0.0665,False,1.016,B-,,344115.55500000005
