Country_Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
FRA-2020,8.76,3.09,35.25,62.52,353.83,10.05,0.61,13.09,40.05
FRA-2021,9.58,5.44,33.31,59.54,379.36,10.1,0.58,15.28,37.12
FRA-2022,9.67,4.16,45.74,45.56,294.73,10.45,0.6,19.34,38.2
FRA-2023,9.94,1.61,30.02,55.9,338.2,9.43,0.58,22.59,50.48
FRA-2024,10.68,1.02,18.1,71.12,380.45,9.54,0.57,24.87,45.43
FRA-2025,10.27,1.74,17.25,59.41,392.07,10.36,0.57,31.82,46.49
GBR-2000,3.88,119.95,148.08,5.09,85.06,14.06,1e-15,1e-15,0.94
GBR-2001,4.53,131.46,141.91,4.05,90.09,11.77,1e-15,1e-15,0.96
GBR-2002,5.08,124.28,152.28,4.79,87.85,11.71,1e-15,1e-15,1.25
GBR-2003,6.17,138.46,148.88,3.23,88.69,11.49,1e-15,1e-15,1.29
GBR-2004,7.36,131.79,157.06,4.84,80,10.93,1e-15,1e-15,1.94
GBR-2005,9.1,134.64,152.64,4.92,81.62,12.52,1e-15,0.01,2.9
GBR-2006,9.28,148.85,140.83,4.59,75.45,14.04,1e-15,0.01,4.22
GBR-2007,9.32,135.94,165.79,5.08,63.03,12.37,1e-15,0.01,5.27
GBR-2008,9.65,124.38,176.22,5.14,52.49,13.93,1e-15,0.02,7.13
GBR-2009,10.71,103.04,166.5,5.23,69.1,12.88,1e-15,0.02,9.28
GBR-2010,12.26,107.59,175.65,3.59,62.14,10.5,1e-15,0.04,10.29
GBR-2011,13.31,108.44,146.5,5.69,68.98,8.85,1e-15,0.24,15.96
GBR-2012,14.74,142.79,100.17,5.31,70.41,9.26,1e-15,1.35,19.84
GBR-2013,18.1,130.26,95.84,4.7,70.61,8.36,1e-15,2.01,28.4
GBR-2014,22.62,100.24,100.89,5.89,63.75,8.69,1e-15,4.05,31.95
GBR-2015,29.26,75.88,99.88,6.3,70.34,9.41,1e-15,7.53,40.27
GBR-2016,30.07,30.67,143.13,5.37,71.73,10.64,1e-15,10.41,37.16
GBR-2017,31.9,22.53,136.75,5.88,70.34,9.71,1e-15,11.46,49.65
GBR-2018,35.11,16.83,131.49,5.44,65.06,10.24,0.01,12.67,56.91
GBR-2019,37.54,6.92,133.09,5.93,56.18,11.26,0.01,12.42,63.84
