H3PO4,H2PO4_minus,HPO4_2minus,PO4_3minus
0.0000000933,0.0972139966,0.9027301418,0.0000557683
0.0000000692,0.0843401613,0.9155936436,0.0000661258
0.0000000513,0.0730331410,0.9268885486,0.0000782591
0.0000000379,0.0631373444,0.9367701522,0.0000924655
0.0000000280,0.0545034382,0.9453874411,0.0001090927
0.0000000207,0.0469908552,0.9528805767,0.0001285475
0.0000000152,0.0404693327,0.9593793466,0.0001513055
0.0000000112,0.0348196873,0.9650023786,0.0001779229
0.0000000082,0.0299340141,0.9698569276,0.0002090501
0.0000000061,0.0257154703,0.9740390764,0.0002454473
0.0000000044,0.0220777743,0.9776342180,0.0002880033
0.0000000033,0.0189445249,0.9807177149,0.0003377570
0.0000000024,0.0162484195,0.9833556557,0.0003959224
0.0000000018,0.0139304290,0.9856056505,0.0004639187
0.0000000013,0.0119389729,0.9875176220,0.0005434039
0.0000000009,0.0102291204,0.9891345632,0.0006363154
0.0000000007,0.0087618383,0.9904932441,0.0007449169
0.0000000005,0.0075032933,0.9916248539,0.0008718522
0.0000000004,0.0064242164,0.9925555734,0.0010202098
0.0000000003,0.0054993285,0.9933070752,0.0011935961
0.0000000002,0.0047068276,0.9938969504,0.0013962218
0.0000000001,0.0040279330,0.9943390647,0.0016330022
0.0000000001,0.0034464830,0.9946438437,0.0019096732
0.0000000001,0.0029485819,0.9948184911,0.0022329269
0.0000000001,0.0025222913,0.9948671411,0.0026105676
0.0000000000,0.0021573608,0.9947909460,0.0030516932
0.0000000000,0.0018449943,0.9945881011,0.0035669047
0.0000000000,0.0015776470,0.9942538060,0.0041685470
0.0000000000,0.0013488501,0.9937801630,0.0048709868
0.0000000000,0.0011530593,0.9931560099,0.0056909308
0.0000000000,0.0009855239,0.9923666875,0.0066477886
0.0000000000,0.0008421742,0.9913937388,0.0077640870
0.0000000000,0.0007195250,0.9902145376,0.0090659374
0.0000000000,0.0006145916,0.9888018458,0.0105835626
0.0000000000,0.0005248191,0.9871232968,0.0123518842
0.0000000000,0.0004480199,0.9851408077,0.0144111724
0.0000000000,0.0003823220,0.9828099220,0.0168077559
0.0000000000,0.0003261232,0.9800790909,0.0195947858
0.0000000000,0.0002780524,0.9768889059,0.0228330417
