L_km,P_nue,P_numu,P_nutau
L1542.16,1.3095299702e-01,7.5617415763e-03,8.6148526140e-01
L1546.16,1.3102891179e-01,6.6314211545e-03,8.6233966705e-01
L1550.16,1.3101308793e-01,6.4994397438e-03,8.6248747233e-01
L1554.17,1.3090560199e-01,7.1656986020e-03,8.6192869940e-01
L1558.17,1.3070668578e-01,8.6287826600e-03,8.6066453156e-01
L1562.17,1.3041672633e-01,1.0885963233e-02,8.5869731044e-01
L1566.17,1.3003626574e-01,1.3933202898e-02,8.5603053136e-01
L1570.18,1.2956600064e-01,1.7765162532e-02,8.5266883683e-01
L1574.18,1.2900678147e-01,2.2375210495e-02,8.4861800804e-01
L1578.18,1.2835961145e-01,2.7755433941e-02,8.4388495461e-01
L1582.19,1.2762564531e-01,3.3896652247e-02,8.3847770244e-01
L1586.19,1.2680618778e-01,4.0788432519e-02,8.3240537970e-01
L1590.19,1.2590269173e-01,4.8419107172e-02,8.2567820110e-01
L1594.20,1.2491675618e-01,5.6775793536e-02,8.1830745028e-01
L1598.20,1.2385012399e-01,6.5844415458e-02,8.1030546056e-01
L1602.20,1.2270467926e-01,7.5609726879e-02,8.0168559386e-01
L1606.20,1.2148244460e-01,8.6055337319e-02,7.9246221808e-01
L1610.21,1.2018557802e-01,9.7163739257e-02,7.8265068272e-01
L1614.21,1.1881636969e-01,1.0891633734e-01,7.7226729297e-01
L1618.21,1.1737723843e-01,1.2129347937e-01,7.6132928220e-01
L1622.22,1.1587072792e-01,1.3427448905e-01,7.4985478303e-01
L1626.22,1.1429950280e-01,1.4783770038e-01,7.3786279681e-01
L1630.22,1.1266634448e-01,1.6196049370e-01,7.2537316182e-01
L1634.23,1.1097414670e-01,1.7661933327e-01,7.1240652003e-01
L1638.23,1.0922591100e-01,1.9178980640e-01,6.9898428260e-01
L1642.23,1.0742474192e-01,2.0744666393e-01,6.8512859415e-01
L1646.23,1.0557384202e-01,2.2356386220e-01,6.7086229578e-01
L1650.24,1.0367650672e-01,2.4011460617e-01,6.5620888711e-01
L1654.24,1.0173611901e-01,2.5707139390e-01,6.4119248709e-01
L1658.24,9.9756143950e-02,2.7440606210e-01,6.2583779395e-01
L1662.25,9.7740123010e-02,2.9208983281e-01,6.1017004418e-01
L1666.25,9.5691668325e-02,3.1009336103e-01,5.9421497064e-01
L1670.25,9.3614456759e-02,3.2838678330e-01,5.7799875994e-01
L1674.26,9.1512223862e-02,3.4693976712e-01,5.6154800902e-01
L1678.26,8.9388757723e-02,3.6572156113e-01,5.4488968115e-01
L1682.26,8.7247892695e-02,3.8470104595e-01,5.2805106136e-01
L1686.26,8.5093503047e-02,4.0384678563e-01,5.1105971132e-01
L1690.27,8.2929496519e-02,4.2312707960e-01,4.9394342388e-01
L1694.27,8.0759807807e-02,4.4251001501e-01,4.7673017718e-01
L1698.27,7.8588391988e-02,4.6196351948e-01,4.5944808853e-01
L1702.28,7.6419217887e-02,4.8145541400e-01,4.4212536811e-01
L1706.28,7.4256261408e-02,5.0095346608e-01,4.2479027251e-01
L1710.28,7.2103498840e-02,5.2042544288e-01,4.0747105828e-01
L1714.29,6.9964900133e-02,5.3983916443e-01,3.9019593543e-01
L1718.29,6.7844422178e-02,5.5916255665e-01,3.7299302118e-01
L1722.29,6.5746002090e-02,5.7836370421e-01,3.5589029370e-01
L1726.29,6.3673550500e-02,5.9741090315e-01,3.3891554635e-01
L1730.30,6.1630944886e-02,6.1627271308e-01,3.2209634203e-01
L1734.30,5.9622022932e-02,6.3491800897e-01,3.0545996809e-01
L1738.30,5.7650575946e-02,6.5331603236e-01,2.8903339170e-01
L1742.31,5.5720342332e-02,6.7143644196e-01,2.7284321571e-01
L1746.31,5.3835001143e-02,6.8924936360e-01,2.5691563526e-01
L1750.31,5.1998165710e-02,7.0672543934e-01,2.4127639495e-01
L1754.32,5.0213377372e-02,7.2383587569e-01,2.2595074694e-01
L1758.32,4.8484099312e-02,7.4055249094e-01,2.1096340975e-01
L1762.32,4.6813710500e-02,7.5684776143e-01,1.9633852807e-01
L1766.32,4.5205499778e-02,7.7269486676e-01,1.8209963346e-01
L1770.33,4.3662660072e-02,7.8806773374e-01,1.6826960619e-01
L1774.33,4.2188282754e-02,8.0294107920e-01,1.5487063805e-01
L1778.33,4.0785352163e-02,8.1729045138e-01,1.4192419646e-01
L1782.34,3.9456740294e-02,8.3109227002e-01,1.2945098969e-01
L1786.34,3.8205201662e-02,8.4432386496e-01,1.1747093338e-01
L1790.34,3.7033368349e-02,8.5696351320e-01,1.0600311845e-01
L1794.35,3.5943745254e-02,8.6899047445e-01,9.5065780296e-02
L1798.35,3.4938705538e-02,8.8038502496e-01,8.4676269498e-02
L1802.35,3.4020486287e-02,8.9112848977e-01,7.4851023941e-02
L1806.35,3.3191184385e-02,9.0120327311e-01,6.5605542504e-02
L1810.36,3.2452752629e-02,9.1059288708e-01,5.6954360291e-02
L1814.36,3.1806996062e-02,9.1928197847e-01,4.8911025468e-02
L1818.36,3.1255568556e-02,9.2725635370e-01,4.1488077745e-02
L1822.37,3.0799969644e-02,9.3450300183e-01,3.4697028530e-02
L1826.37,3.0441541596e-02,9.4101011562e-01,2.8548342786e-02
L1830.37,3.0181466764e-02,9.4676711061e-01,2.3051422627e-02
L1834.38,3.0020765181e-02,9.5176464214e-01,1.8214592675e-02
L1838.38,2.9960292442e-02,9.5599462037e-01,1.4045087190e-02
L1842.38,3.0000737841e-02,9.5945022314e-01,1.0549039017e-02
L1846.38,3.0142622799e-02,9.6212590686e-01,7.7314703391e-03
L1850.39,3.0386299567e-02,9.6401741516e-01,5.5962852731e-03
L1854.39,3.0731950207e-02,9.6512178549e-01,4.1462643033e-03
L1858.39,3.1179585867e-02,9.6543735356e-01,3.3830605696e-03
L1862.40,3.1729046337e-02,9.6496375565e-01,3.3071980110e-03
L1866.40,3.2379999899e-02,9.6370192873e-01,3.9180713670e-03
L1870.40,3.3131943457e-02,9.6165410851e-01,5.2139480353e-03
L1874.41,3.3984202970e-02,9.5882382525e-01,7.1919717815e-03
L1878.41,3.4935934167e-02,9.5521589754e-01,9.8481682932e-03
L1882.41,3.5986123551e-02,9.5083642388e-01,1.3177452568e-02
L1886.41,3.7133589696e-02,9.4569277218e-01,1.7173638119e-02
L1890.42,3.8376984828e-02,9.3979356718e-01,2.1829447991e-02
L1894.42,3.9714796691e-02,9.3314867576e-01,2.7136527551e-02
L1898.42,4.1145350700e-02,9.2576919025e-01,3.3085459045e-02
L1902.43,4.2666812367e-02,9.1766740974e-01,3.9665777898e-02
L1906.43,4.4277190006e-02,9.0885681929e-01,4.6865990705e-02
L1910.43,4.5974337712e-02,8.9935206737e-01,5.4673594916e-02
L1914.44,4.7755958608e-02,8.8916894124e-01,6.3075100156e-02
L1918.44,4.9619608348e-02,8.7832434050e-01,7.2056051153e-02
L1922.44,5.1562698889e-02,8.6683624888e-01,8.1601052234e-02
L1926.44,5.3582502505e-02,8.5472370415e-01,9.1693793349e-02
L1930.45,5.5676156052e-02,8.4200676637e-01,1.0231707758e-01
L1934.45,5.7840665470e-02,8.2870648447e-01,1.1345285006e-01
L1938.45,6.0072910520e-02,8.1484486113e-01,1.2508222835e-01
L1942.46,6.2369649738e-02,8.0044481621e-01,1.3718553406e-01
L1946.46,6.4727525615e-02,7.8553014860e-01,1.4974232579e-01
L1950.46,6.7143069979e-02,7.7012549666e-01,1.6273143336e-01
L1954.47,6.9612709582e-02,7.5425629732e-01,1.7613099310e-01
L1958.47,7.2132771867e-02,7.3794874378e-01,1.8991848435e-01
L1962.47,7.4699490934e-02,7.2122974212e-01,2.0407076694e-01
L1966.47,7.7309013658e-02,7.0412686664e-01,2.1856411970e-01
L1970.48,7.9957405986e-02,6.8666831414e-01,2.3337427987e-01
L1974.48,8.2640659375e-02,6.6888285721e-01,2.4847648341e-01
L1978.48,8.5354697370e-02,6.5079979659e-01,2.6384550604e-01
L1982.49,8.8095382324e-02,6.3244891264e-01,2.7945570504e-01
L1986.49,9.0858522222e-02,6.1386041607e-01,2.9528106171e-01
L1990.49,9.3639877624e-02,5.9506489796e-01,3.1129522441e-01
L1994.50,9.6435168700e-02,5.7609327921e-01,3.2747155209e-01
L1998.50,9.9240082345e-02,5.5697675939e-01,3.4378315827e-01
L2002.50,1.0205027938e-01,5.3774676522e-01,3.6020295540e-01
L2006.50,1.0486140179e-01,5.1843489867e-01,3.7670369954e-01
L2010.51,1.0766908005e-01,4.9907288476e-01,3.9325803518e-01
L2014.51,1.1046894045e-01,4.7969251926e-01,4.0983854029e-01
L2018.51,1.1325661244e-01,4.6032561617e-01,4.2641777139e-01
L2022.52,1.1602773603e-01,4.4100395532e-01,4.4296830866e-01
L2026.52,1.1877796915e-01,4.2175922993e-01,4.5946280092e-01
L2030.52,1.2150299502e-01,4.0262299445e-01,4.7587401053e-01
L2034.53,1.2419852948e-01,3.8362661252e-01,4.9217485800e-01
L2038.53,1.2686032826e-01,3.6480120538e-01,5.0833846637e-01
L2042.53,1.2948419427e-01,3.4617760061e-01,5.2433820512e-01
L2046.53,1.3206598475e-01,3.2778628145e-01,5.4014773380e-01
L2050.54,1.3460161839e-01,3.0965733667e-01,5.5574104494e-01
L2054.54,1.3708708233e-01,2.9182041107e-01,5.7109250659e-01
L2058.54,1.3951843912e-01,2.7430465683e-01,5.8617690405e-01
L2062.55,1.4189183347e-01,2.5713868558e-01,6.0096948095e-01
L2066.55,1.4420349899e-01,2.4035052148e-01,6.1544597953e-01
L2070.55,1.4644976469e-01,2.2396755522e-01,6.2958268008e-01
L2074.56,1.4862706144e-01,2.0801649911e-01,6.4335643945e-01
L2078.56,1.5073192816e-01,1.9252334329e-01,6.5674472855e-01
L2082.56,1.5276101793e-01,1.7751331317e-01,6.6972566890e-01
L2086.56,1.5471110388e-01,1.6301082815e-01,6.8227806798e-01
L2090.57,1.5657908488e-01,1.4903946164e-01,6.9438145348e-01
L2094.57,1.5836199110e-01,1.3562190257e-01,7.0601610634e-01
L2098.57,1.6005698925e-01,1.2277991827e-01,7.1716309248e-01
L2102.58,1.6166138770e-01,1.1053431901e-01,7.2780429329e-01
L2106.58,1.6317264133e-01,9.8904924011e-02,7.3792243466e-01
L2110.58,1.6458835613e-01,8.7910529182e-02,7.4750111469e-01
L2114.59,1.6590629358e-01,7.7568876539e-02,7.5652482988e-01
L2118.59,1.6712437478e-01,6.7896625360e-02,7.6497899986e-01
L2122.59,1.6824068431e-01,5.8909325152e-02,7.7284999053e-01
L2126.59,1.6925347381e-01,5.0621390455e-02,7.8012513574e-01
L2130.60,1.7016116528e-01,4.3046077528e-02,7.8679275719e-01
L2134.60,1.7096235417e-01,3.6195462952e-02,7.9284218288e-01
L2138.60,1.7165581210e-01,3.0080424193e-02,7.9826376371e-01
L2142.61,1.7224048930e-01,2.4710622148e-02,8.0304888855e-01
L2146.61,1.7271551684e-01,2.0094485700e-02,8.0718999746e-01
L2150.61,1.7308020841e-01,1.6239198321e-02,8.1068059327e-01
L2154.62,1.7333406195e-01,1.3150686725e-02,8.1351525132e-01
L2158.62,1.7347676088e-01,1.0833611606e-02,8.1568962751e-01
L2162.62,1.7350817502e-01,9.2913604604e-03,8.1720046452e-01
L2166.62,1.7342836125e-01,8.5260425187e-03,8.1804559623e-01
L2170.63,1.7323756382e-01,8.5384857850e-03,8.1822395039e-01
L2174.63,1.7293621435e-01,9.3282361904e-03,8.1773554946e-01
L2178.63,1.7252493149e-01,1.0893558862e-02,8.1658150965e-01
L2182.64,1.7200452033e-01,1.3231441502e-02,8.1476403817e-01
L2186.64,1.7137597142e-01,1.6337599878e-02,8.1228642870e-01
L2190.64,1.7064045953e-01,2.0206485399e-02,8.0915305507e-01
L2194.65,1.6979934206e-01,2.4831294784e-02,8.0536936316e-01
L2198.65,1.6885415714e-01,3.0203981788e-02,8.0094186107e-01
L2202.65,1.6780662146e-01,3.6315270980e-02,7.9587810756e-01
L2206.65,1.6665862777e-01,4.3154673533e-02,7.9018669870e-01
L2210.66,1.6541224203e-01,5.0710505018e-02,7.8387725295e-01
L2214.66,1.6406970036e-01,5.8969905162e-02,7.7696039448e-01
L2218.66,1.6263340562e-01,6.7918859524e-02,7.6944773486e-01
L2222.67,1.6110592371e-01,7.7542223088e-02,7.6135185320e-01
L2226.67,1.5948997964e-01,8.7823745685e-02,7.5268627468e-01
L2230.67,1.5778845324e-01,9.8746099251e-02,7.4346544751e-01
L2234.68,1.5600437468e-01,1.1029090683e-01,7.3370471849e-01
L2238.68,1.5414091968e-01,1.2243877331e-01,7.2342030701e-01
L2242.68,1.5220140446e-01,1.3516931783e-01,7.1262927771e-01
L2246.68,1.5018928049e-01,1.4846120776e-01,7.0134951175e-01
L2250.69,1.4810812893e-01,1.6229219430e-01,6.8959967677e-01
L2254.69,1.4596165493e-01,1.7663914950e-01,6.7739919557e-01
L2258.69,1.4375368159e-01,1.9147810480e-01,6.6476821361e-01
L2262.70,1.4148814383e-01,2.0678429086e-01,6.5172756531e-01
L2266.70,1.3916908200e-01,2.2253217872e-01,6.3829873927e-01
L2270.70,1.3680063527e-01,2.3869552226e-01,6.2450384247e-01
L2274.71,1.3438703489e-01,2.5524740168e-01,6.1036556343e-01
L2278.71,1.3193259728e-01,2.7216026823e-01,5.9590713449e-01
L2282.71,1.2944171691e-01,2.8940598986e-01,5.8115229322e-01
L2286.71,1.2691885910e-01,3.0695589784e-01,5.6612524306e-01
L2290.72,1.2436855264e-01,3.2478083423e-01,5.5085061313e-01
L2294.72,1.2179538228e-01,3.4285120019e-01,5.3535341754e-01
L2298.72,1.1920398118e-01,3.6113700490e-01,5.1965901392e-01
L2302.73,1.1659902317e-01,3.7960791524e-01,5.0379306160e-01
L2306.73,1.1398521499e-01,3.9823330583e-01,4.8778147919e-01
L2310.73,1.1136728843e-01,4.1698230973e-01,4.7165040184e-01
L2314.74,1.0874999242e-01,4.3582386938e-01,4.5542613820e-01
L2318.74,1.0613808508e-01,4.5472678786e-01,4.3913512706e-01
L2322.74,1.0353632571e-01,4.7365978039e-01,4.2280389390e-01
L2326.74,1.0094946683e-01,4.9259152594e-01,4.0645900723e-01
L2330.75,9.8382246104e-02,5.1149071883e-01,3.9012703507e-01
L2334.75,9.5839378385e-02,5.3032612037e-01,3.7383450124e-01
L2338.75,9.3325547715e-02,5.4906661030e-01,3.5760784199e-01
L2342.76,9.0845399379e-02,5.6768123800e-01,3.4147336262e-01
L2346.76,8.8403532014e-02,5.8613927347e-01,3.2545719451e-01
L2350.76,8.6004489767e-02,6.0441025787e-01,3.0958525236e-01
L2354.77,8.3652754540e-02,6.2246405359e-01,2.9388319187e-01
L2358.77,8.1352738321e-02,6.4027089377e-01,2.7837636791e-01
L2362.77,7.9108775612e-02,6.5780143123e-01,2.6308979316e-01
L2366.77,7.6925115980e-02,6.7502678662e-01,2.4804809740e-01
L2370.78,7.4805916733e-02,6.9191859584e-01,2.3327548743e-01
L2374.78,7.2755235733e-02,7.0844905651e-01,2.1879570775e-01
L2378.78,7.0777024363e-02,7.2459097361e-01,2.0463200203e-01
L2382.79,6.8875120670e-02,7.4031780394e-01,1.9080707539e-01
L2386.79,6.7053242664e-02,7.5560369968e-01,1.7734305766e-01
L2390.79,6.5314981829e-02,7.7042355057e-01,1.6426146760e-01
L2394.80,6.3663796816e-02,7.8475302505e-01,1.5158317813e-01
L2398.80,6.2103007354e-02,7.9856860996e-01,1.3932838269e-01
L2402.80,6.0635788389e-02,8.1184764893e-01,1.2751656268e-01
L2406.80,5.9265164441e-02,8.2456837935e-01,1.1616645621e-01
L2410.81,5.7994004217e-02,8.3670996781e-01,1.0529602797e-01
L2414.81,5.6825015466e-02,8.4825254403e-01,9.4922440501e-02
L2418.81,5.5760740103e-02,8.5917723317e-01,8.5062026726e-02
L2422.82,5.4803549594e-02,8.6946618646e-01,7.5730263947e-02
L2426.82,5.3955640625e-02,8.7910261017e-01,6.6941749203e-02
L2430.82,5.3219031056e-02,8.8807079281e-01,5.8710176133e-02
L2434.83,5.2595556164e-02,8.9635613051e-01,5.1048313328e-02
L2438.83,5.2086865196e-02,9.0394515058e-01,4.3967984225e-02
L2442.83,5.1694418214e-02,9.1082553321e-01,3.7480048573e-02
L2446.83,5.1419483267e-02,9.1698613124e-01,3.1594385490e-02
L2450.84,5.1263133869e-02,9.2241698798e-01,2.6319878150e-02
L2454.84,5.1226246809e-02,9.2710935307e-01,2.1664400122e-02
L2458.84,5.1309500282e-02,9.3105569635e-01,1.7634803366e-02
L2462.85,5.1513372353e-02,9.3424971971e-01,1.4236907933e-02
L2466.85,5.1838139755e-02,9.3668636690e-01,1.1475493349e-02
L2470.85,5.2283877026e-02,9.3836183124e-01,9.3542917349e-03
L2474.86,5.2850455976e-02,9.3927356139e-01,7.8759826306e-03
L2478.86,5.3537545510e-02,9.3942026492e-01,7.0421895679e-03
L2482.86,5.4344611777e-02,9.3880190985e-01,6.8534783692e-03
L2486.86,5.5270918667e-02,9.3741972415e-01,7.3093571872e-03
L2490.87,5.6315528655e-02,9.3527619307e-01,8.4082782790e-03
L2494.87,5.7477303976e-02,9.3237505451e-01,1.0147641511e-02
L2498.87,5.8754908144e-02,9.2872129227e-01,1.2523799587e-02
L2502.88,6.0146807814e-02,9.2432112720e-01,1.5532064989e-02
L2506.88,6.1651274966e-02,9.1918200641e-01,1.9166718621e-02
L2510.88,6.3266389438e-02,9.1331259043e-01,2.3421020133e-02
L2514.89,6.4990041770e-02,9.0672273832e-01,2.8287219912e-02
L2518.89,6.6819936388e-02,8.9942349089e-01,3.3756572721e-02
L2522.89,6.8753595095e-02,8.9142705195e-01,3.9819352953e-02
L2526.89,7.0788360885e-02,8.8274676763e-01,4.6464871483e-02
L2530.90,7.2921402062e-02,8.7339710385e-01,5.3681494084e-02
L2534.90,7.5149716658e-02,8.6339362197e-01,6.1456661375e-02
L2538.90,7.7470137154e-02,8.5275295258e-01,6.9776910269e-02
L2542.91,7.9879335481e-02,8.4149276764e-01,7.8627896882e-02
L2546.91,8.2373828306e-02,8.2963175083e-01,8.7994420867e-02
L2550.91,8.4949982586e-02,8.1718956629e-01,9.7860451128e-02
L2554.92,8.7604021388e-02,8.0418682574e-01,1.0820915287e-01
L2558.92,9.0332029960e-02,7.9064505407e-01,1.1902291597e-01
L2562.92,9.3129962049e-02,7.7658665345e-01,1.3028338450e-01
L2566.92,9.5993646445e-02,7.6203486594e-01,1.4197148762e-01
L2570.93,9.8918793756e-02,7.4701373485e-01,1.5406747139e-01
L2574.93,1.0190100339e-01,7.3154806471e-01,1.6655093190e-01
L2578.93,1.0493577075e-01,7.1566338003e-01,1.7940084922e-01
L2582.94,1.0801849458e-01,6.9938588290e-01,1.9259562253e-01
L2586.94,1.1114448454e-01,6.8274240948e-01,2.0611310599e-01
L2590.94,1.1430896891e-01,6.6576038549e-01,2.1993064560e-01
L2594.95,1.1750710247e-01,6.4846778073e-01,2.3402511680e-01
L2598.95,1.2073397446e-01,6.3089306273e-01,2.4837296280e-01
L2602.95,1.2398461677e-01,6.1306514960e-01,2.6295023363e-01
L2606.95,1.2725401214e-01,5.9501336216e-01,2.7773262570e-01
L2610.96,1.3053710249e-01,5.7676737546e-01,2.9269552205e-01
L2614.96,1.3382879739e-01,5.5835716968e-01,3.0781403292e-01
L2618.96,1.3712398252e-01,5.3981298062e-01,3.2306303686e-01
L2622.97,1.4041752822e-01,5.2116524971e-01,3.3841722207e-01
L2626.97,1.4370429810e-01,5.0244457383e-01,3.5385112808e-01
L2630.97,1.4697915763e-01,4.8368165474e-01,3.6933918763e-01
L2634.98,1.5023698280e-01,4.6490724854e-01,3.8485576866e-01
L2638.98,1.5347266875e-01,4.4615211487e-01,4.0037521638e-01
L2642.98,1.5668113836e-01,4.2744696632e-01,4.1587189532e-01
L2646.98,1.5985735085e-01,4.0882241782e-01,4.3132023134e-01
L2650.99,1.6299631031e-01,3.9030893623e-01,4.4669475345e-01
L2654.99,1.6609307422e-01,3.7193679028e-01,4.6197013551e-01
L2658.99,1.6914276176e-01,3.5373600074e-01,4.7712123750e-01
L2663.00,1.7214056223e-01,3.3573629114e-01,4.9212314662e-01
L2667.00,1.7508174321e-01,3.1796703892e-01,5.0695121787e-01
L2671.00,1.7796165865e-01,3.0045722723e-01,5.2158111412e-01
L2675.01,1.8077575686e-01,2.8323539737e-01,5.3598884578e-01
L2679.01,1.8351958832e-01,2.6632960199e-01,5.5015080970e-01
L2683.01,1.8618881335e-01,2.4976735914e-01,5.6404382751e-01
L2687.02,1.8877920960e-01,2.3357560722e-01,5.7764518318e-01
L2691.02,1.9128667936e-01,2.1778066086e-01,5.9093265978e-01
L2695.02,1.9370725668e-01,2.0240816792e-01,6.0388457540e-01
L2699.02,1.9603711426e-01,1.8748306758e-01,6.1647981815e-01
L2703.03,1.9827257016e-01,1.7302954960e-01,6.2869788024e-01
L2707.03,2.0041009421e-01,1.5907101486e-01,6.4051889093e-01
L2711.03,2.0244631426e-01,1.4563003725e-01,6.5192364849e-01
L2715.04,2.0437802212e-01,1.3272832687e-01,6.6289365101e-01
L2719.04,2.0620217922e-01,1.2038669473e-01,6.7341112605e-01
L2723.04,2.0791592209e-01,1.0862501892e-01,6.8345905899e-01
L2727.05,2.0951656741e-01,9.7462212367e-02,6.9302122023e-01
L2731.05,2.1100161689e-01,8.6916192165e-02,7.0208219095e-01
L2735.05,2.1236876180e-01,7.7003850585e-02,7.1062738761e-01
L2739.05,2.1361588719e-01,6.7741027779e-02,7.1864308503e-01
L2743.06,2.1474107577e-01,5.9142486235e-02,7.2611643799e-01
L2747.06,2.1574261152e-01,5.1221887019e-02,7.3303550146e-01
L2751.06,2.1661898291e-01,4.3991767854e-02,7.3938924924e-01
L2755.07,2.1736888581e-01,3.7463523047e-02,7.4516759114e-01
L2759.07,2.1799122609e-01,3.1647385322e-02,7.5036138859e-01
L2763.07,2.1848512176e-01,2.6552409577e-02,7.5496246866e-01
L2767.08,2.1884990492e-01,2.2186458584e-02,7.5896363649e-01
L2771.08,2.1908512320e-01,1.8556190662e-02,7.6235868614e-01
L2775.08,2.1919054091e-01,1.5667049351e-02,7.6514240973e-01
L2779.08,2.1916613988e-01,1.3523255082e-02,7.6731060504e-01
L2783.09,2.1901211979e-01,1.2127798870e-02,7.6886008134e-01
L2787.09,2.1872889831e-01,1.1482438044e-02,7.6978866365e-01
L2791.09,2.1831711070e-01,1.1587693999e-02,7.7009519530e-01
L2795.10,2.1777760923e-01,1.2442851998e-02,7.6977953877e-01
L2799.10,2.1711146202e-01,1.4045963005e-02,7.6884257497e-01
L2803.10,2.1631995173e-01,1.6393847551e-02,7.6728620072e-01
L2807.11,2.1540457370e-01,1.9482101628e-02,7.6511332467e-01
L2811.11,2.1436703389e-01,2.3305104598e-02,7.6232786151e-01
L2815.11,2.1320924633e-01,2.7856029095e-02,7.5893472458e-01
L2819.11,2.1193333028e-01,3.3126852926e-02,7.5493981679e-01
L2823.12,2.1054160708e-01,3.9108372913e-02,7.5035002001e-01
L2827.12,2.0903659653e-01,4.5790220694e-02,7.4517318278e-01
L2831.12,2.0742101306e-01,5.3160880425e-02,7.3941810651e-01
L2835.13,2.0569776151e-01,6.1207708359e-02,7.3309453013e-01
L2839.13,2.0386993255e-01,6.9916954287e-02,7.2621311317e-01
L2843.13,2.0194079784e-01,7.9273784774e-02,7.1878541739e-01
L2847.14,1.9991380486e-01,8.9262308182e-02,7.1082388696e-01
L2851.14,1.9779257139e-01,9.9865601412e-02,7.0234182720e-01
L2855.14,1.9558087979e-01,1.1106573833e-01,6.9335338187e-01
L2859.14,1.9328267086e-01,1.2284381986e-01,6.8387350927e-01
L2863.15,1.9090203756e-01,1.3518000560e-01,6.7391795684e-01
L2867.15,1.8844321836e-01,1.4805354705e-01,6.6350323460e-01
L2871.15,1.8591059040e-01,1.6144282222e-01,6.5264658738e-01
L2875.16,1.8330866236e-01,1.7532537181e-01,6.4136596583e-01
L2879.16,1.8064206713e-01,1.8967793657e-01,6.2967999630e-01
L2883.16,1.7791555425e-01,2.0447649606e-01,6.1760794969e-01
L2887.17,1.7513398209e-01,2.1969630868e-01,6.0516970923e-01
L2891.17,1.7230230995e-01,2.3531195274e-01,5.9238573730e-01
L2895.17,1.6942558986e-01,2.5129736875e-01,5.7927704139e-01
L2899.17,1.6650895824e-01,2.6762590266e-01,5.6586513911e-01
L2903.18,1.6355762746e-01,2.8427035008e-01,5.5217202245e-01
L2907.18,1.6057687723e-01,3.0120300142e-01,5.3822012135e-01
L2911.18,1.5757204577e-01,3.1839568777e-01,5.2403226647e-01
L2915.19,1.5454852102e-01,3.3581982752e-01,5.0963165145e-01
L2919.19,1.5151173168e-01,3.5344647373e-01,4.9504179460e-01
L2923.19,1.4846713810e-01,3.7124636191e-01,4.8028649999e-01
L2927.20,1.4542022322e-01,3.8918995846e-01,4.6538981832e-01
L2931.20,1.4237648341e-01,4.0724750942e-01,4.5037600717e-01
L2935.20,1.3934141920e-01,4.2538908960e-01,4.3526949120e-01
L2939.20,1.3632052612e-01,4.4358465193e-01,4.2009482194e-01
L2943.21,1.3331928544e-01,4.6180407705e-01,4.0487663751e-01
L2947.21,1.3034315493e-01,4.8001722288e-01,3.8963962219e-01
L2951.21,1.2739755967e-01,4.9819397436e-01,3.7440846597e-01
L2955.22,1.2448788288e-01,5.1630429292e-01,3.5920782420e-01
L2959.22,1.2161945683e-01,5.3431826597e-01,3.4406227720e-01
L2963.22,1.1879755377e-01,5.5220615607e-01,3.2899629017e-01
L2967.23,1.1602737700e-01,5.6993844976e-01,3.1403417324e-01
L2971.23,1.1331405203e-01,5.8748590608e-01,2.9920004189e-01
L2975.23,1.1066261782e-01,6.0481960453e-01,2.8451777766e-01
L2979.23,1.0807801816e-01,6.2191099251e-01,2.7001098933e-01
L2983.24,1.0556509328e-01,6.3873193213e-01,2.5570297459e-01
L2987.24,1.0312857146e-01,6.5525474632e-01,2.4161668222e-01
L2991.24,1.0077306100e-01,6.7145226408e-01,2.2777467492e-01
L2995.25,9.8503042201e-02,6.8729786501e-01,2.1419909279e-01
L2999.25,9.6322859681e-02,7.0276552276e-01,2.0091161756e-01
L3003.25,9.4236714842e-02,7.1782984755e-01,1.8793343761e-01
L3007.26,9.2248658578e-02,7.3246612765e-01,1.7528521377e-01
L3011.26,9.0362584227e-02,7.4665036962e-01,1.6298704615e-01
L3015.26,8.8582220777e-02,7.6035933744e-01,1.5105844179e-01
L3019.26,8.6911126330e-02,7.7357059030e-01,1.3951828337e-01
L3023.27,8.5352681852e-02,7.8626251912e-01,1.2838479903e-01
L3027.27,8.3910085203e-02,7.9841438163e-01,1.1767553317e-01
L3031.27,8.2586345469e-02,8.1000633598e-01,1.0740731855e-01
L3035.28,8.1384277601e-02,8.2101947296e-01,9.7596249435e-02
L3039.28,8.0306497367e-02,8.3143584654e-01,8.8257656098e-02
L3043.28,7.9355416641e-02,8.4123850283e-01,7.9406080531e-02
L3047.29,7.8533239017e-02,8.5041150748e-01,7.1055253501e-02
L3051.29,7.7841955770e-02,8.5893997128e-01,6.3218072950e-02
L3055.29,7.7283342167e-02,8.6681007405e-01,5.5906583785e-02
L3059.29,7.6858954134e-02,8.7400908678e-01,4.9131959084e-02
L3063.30,7.6570125289e-02,8.8052539196e-01,4.2904482747e-02
L3067.30,7.6417964338e-02,8.8634850203e-01,3.7233533630e-02
L3071.30,7.6403352853e-02,8.9146907598e-01,3.2127571163e-02
L3075.31,7.6526943420e-02,8.9587893408e-01,2.7594122503e-02
L3079.31,7.6789158174e-02,8.9957107061e-01,2.3639771219e-02
L3083.31,7.7190187718e-02,9.0253966475e-01,2.0270147532e-02
L3087.32,7.7729990424e-02,9.0478008944e-01,1.7489920131e-02
L3091.32,7.8408292134e-02,9.0628891829e-01,1.5302789571e-02
