L_km,P_nue,P_numu,P_nutau
L0353.26,5.9138555336e-02,5.2372872322e-02,8.8848857234e-01
L0357.27,5.8719512279e-02,6.1361272984e-02,8.7991921474e-01
L0361.27,5.8252493010e-02,7.1074861729e-02,8.7067264526e-01
L0365.27,5.7738229613e-02,8.1497550432e-02,8.6076421996e-01
L0369.28,5.7177540042e-02,9.2612081849e-02,8.5021037811e-01
L0373.28,5.6571327129e-02,1.0440005818e-01,8.3902861469e-01
L0377.28,5.5920577440e-02,1.1684197150e-01,8.2723745106e-01
L0381.29,5.5226359976e-02,1.2991723606e-01,8.1485640397e-01
L0385.29,5.4489824728e-02,1.4360422230e-01,8.0190595297e-01
L0389.29,5.3712201077e-02,1.5788029266e-01,7.8840750626e-01
L0393.29,5.2894796057e-02,1.7272183900e-01,7.7438336494e-01
L0397.30,5.2038992462e-02,1.8810432163e-01,7.5985668591e-01
L0401.30,5.1146246822e-02,2.0400230989e-01,7.4485144329e-01
L0405.30,5.0218087235e-02,2.2038952418e-01,7.2939238859e-01
L0409.31,4.9256111068e-02,2.3723887941e-01,7.1350500952e-01
L0413.31,4.8261982519e-02,2.5452252976e-01,6.9721548773e-01
L0417.31,4.7237430057e-02,2.7221191468e-01,6.8055065526e-01
L0421.32,4.6184243736e-02,2.9027780614e-01,6.6353795012e-01
L0425.32,4.5104272392e-02,3.0869035684e-01,6.4620537077e-01
L0429.32,4.3999420715e-02,3.2741914960e-01,6.2858142969e-01
L0433.32,4.2871646220e-02,3.4643324754e-01,6.1069510623e-01
L0437.33,4.1722956109e-02,3.6570124527e-01,5.9257579862e-01
L0441.33,4.0555404026e-02,3.8519132067e-01,5.7425327530e-01
L0445.33,3.9371086725e-02,4.0487128751e-01,5.5575762576e-01
L0449.34,3.8172140639e-02,4.2470864858e-01,5.3711921078e-01
L0453.34,3.6960738372e-02,4.4467064936e-01,5.1836861227e-01
L0457.34,3.5739085104e-02,4.6472433209e-01,4.9953658281e-01
L0461.35,3.4509414930e-02,4.8483659021e-01,4.8065399486e-01
L0465.35,3.3273987124e-02,5.0497422300e-01,4.6175178987e-01
L0469.35,3.2035082350e-02,5.2510399040e-01,4.4286092725e-01
L0473.35,3.0794998814e-02,5.4519266783e-01,4.2401233335e-01
L0477.36,2.9556048366e-02,5.6520710112e-01,4.0523685052e-01
L0481.36,2.8320552568e-02,5.8511426112e-01,3.8656518631e-01
L0485.36,2.7090838718e-02,6.0488129829e-01,3.6802786299e-01
L0489.37,2.5869235852e-02,6.2447559685e-01,3.4965516730e-01
L0493.37,2.4658070725e-02,6.4386482863e-01,3.3147710065e-01
L0497.37,2.3459663774e-02,6.6301700636e-01,3.1352332986e-01
L0501.38,2.2276325079e-02,6.8190053649e-01,2.9582313843e-01
L0505.38,2.1110350316e-02,7.0048427125e-01,2.7840537843e-01
L0509.38,1.9964016728e-02,7.1873756004e-01,2.6129842323e-01
L0513.38,1.8839579100e-02,7.3663029999e-01,2.4453012091e-01
L0517.39,1.7739265758e-02,7.5413298557e-01,2.2812774867e-01
L0521.39,1.6665274602e-02,7.7121675724e-01,2.1211796815e-01
