# Frielingen-9 mudstone (Lower Cretaceous, eastern Lower Saxony Basin)
# Source: Thoele et al. 2019, PANGAEA 897615 (CC-BY 4.0); discrete WD-XRF + CaCO3 + TOC.
# https://doi.pangaea.de/10.1594/PANGAEA.897615  | paper: https://doi.org/10.1002/dep2.83
# Complete-suite samples only (rows with SiO2/Al2O3/Rb/Zr/CaCO3/TOC). Rb,Zr in mg/kg.
depth_m,SiO2_pct,Al2O3_pct,Rb_mgkg,Zr_mgkg,CaCO3_pct,TOC_pct
146.75,49.65,19.92,167,156,8.42,0.72
147.75,51.28,19.79,158,167,6.50,0.84
148.75,55.28,21.10,168,184,1.75,0.78
149.73,53.26,21.36,175,164,0.92,1.34
150.75,54.58,21.76,173,166,0.67,0.91
151.74,53.37,20.82,164,175,3.08,0.98
152.75,54.83,21.46,174,172,2.00,0.82
153.74,54.20,21.15,163,178,1.92,0.95
155.75,53.71,20.29,161,180,4.25,0.80
156.74,48.32,18.03,146,158,13.33,0.59
157.76,54.77,20.41,160,190,2.67,0.83
158.75,50.93,19.29,155,167,7.42,0.82
159.76,54.22,20.87,172,181,1.67,0.97
161.11,53.98,20.47,165,195,1.75,0.89
162.29,54.06,20.50,169,181,2.33,0.91
163.24,53.69,20.29,167,178,4.83,0.75
163.65,54.75,20.51,170,180,2.25,0.97
166.13,46.70,17.03,142,153,17.17,0.55
168.40,54.55,19.80,164,181,3.42,0.83
172.25,43.50,16.09,124,137,23.08,0.50
172.75,51.26,18.99,151,166,8.92,0.61
173.76,53.08,18.31,154,178,6.92,0.86
174.74,50.48,18.30,154,163,11.17,0.70
175.75,50.67,18.57,147,160,11.75,0.54
176.75,57.78,18.78,151,211,3.00,0.82
177.75,53.91,17.90,143,204,7.42,0.61
178.25,50.55,17.74,150,177,12.50,0.49
179.25,49.08,19.70,164,182,9.75,0.45
180.33,52.84,18.37,156,190,8.08,0.56
181.25,45.13,15.73,128,166,12.75,0.65
182.25,51.64,17.90,149,183,10.42,0.58
182.76,52.45,19.07,157,178,7.25,0.56
183.75,52.72,19.39,170,165,6.92,0.50
184.80,46.99,18.74,155,147,6.42,0.56
185.25,46.19,17.17,142,144,18.42,0.47
185.75,53.59,20.10,170,174,5.75,0.55
186.25,45.05,16.85,143,144,19.92,0.39
186.74,51.03,20.21,168,163,7.58,0.67
187.75,50.66,19.19,161,158,8.75,0.82
188.73,50.22,18.44,151,165,11.50,0.63
189.74,46.66,17.08,144,153,17.92,0.57
190.75,47.98,17.96,144,160,15.08,0.69
191.76,43.76,15.99,119,158,21.17,0.62
192.75,55.26,18.73,152,200,4.92,0.76
194.75,53.18,17.64,141,187,8.58,0.78
195.86,52.90,17.93,145,181,8.92,0.73
196.75,56.56,18.04,144,207,4.75,0.83
197.75,52.78,18.01,146,185,9.67,0.56
198.88,53.89,19.51,160,181,4.83,0.69
199.92,52.68,18.05,144,187,8.75,0.70
200.92,53.82,17.55,138,206,7.67,0.73
201.92,53.51,18.62,143,187,6.25,0.75
202.91,57.17,17.88,140,232,4.75,0.67
203.94,56.31,17.57,143,218,5.50,0.87
204.91,57.14,17.31,142,211,5.75,0.75
205.89,51.40,17.63,143,183,10.92,0.73
206.85,53.03,18.40,148,194,8.25,0.59
207.75,54.92,16.77,139,213,9.58,0.60
