depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
183.75,0.730766,0.26877,0.000236,0.000229,4.2773,3.2771,-3.7622,-3.7921,0.1105,Zr,0,1.7972,7.5874,-0.0399,0.0673,1.0002,-0.0299,6.92,0.5,0.0,0.03,1996.95,2223.3
184.8,0.714566,0.284975,0.000236,0.000224,4.2515,3.3322,-3.7654,-3.8184,0.0664,Al2O3,0,1.8253,7.6116,-0.0857,0.0285,0.9193,-0.053,6.42,0.56,0.21,2.57,9.4,683.29
185.25,0.72868,0.270869,0.000224,0.000227,4.2875,3.2979,-3.7997,-3.7857,0.0687,SiO2,0,1.8008,7.6177,-0.0245,0.0256,0.9896,0.014,18.42,0.47,0.39,0.87,1061.14,1007.45
185.75,0.726896,0.272637,0.000231,0.000236,4.2673,3.2867,-3.7886,-3.7653,0.0328,Zr,0,1.8041,7.5857,-0.0129,0.046,0.9806,0.0233,5.75,0.55,0.52,0.44,513.08,1700.86
186.25,0.727449,0.272087,0.000231,0.000233,4.2717,3.2883,-3.7835,-3.7766,0.0132,Zr,0,1.8031,7.592,-0.0237,0.0467,0.9834,0.007,19.92,0.39,0.16,0.06,643.86,3057.12
186.74,0.715978,0.283557,0.000236,0.000229,4.2485,3.3223,-3.7703,-3.8005,0.0494,Al2O3,0,1.823,7.5991,-0.0662,0.0339,0.9262,-0.0302,7.58,0.67,0.3,1.74,310.67,1010.39
187.75,0.724937,0.274606,0.00023,0.000226,4.2744,3.3037,-3.7796,-3.7985,0.0333,SiO2,0,1.8075,7.6091,-0.0482,0.0365,0.9707,-0.0188,8.75,0.82,0.85,1.1,334.65,16.44
188.73,0.731094,0.268446,0.00022,0.00024,4.283,3.2812,-3.8264,-3.7378,0.0803,Zr,0,1.7966,7.5976,0.0308,0.0233,1.0019,0.0887,11.5,0.63,0.02,0.29,1472.92,2523.44
189.74,0.731695,0.267839,0.000226,0.00024,4.2778,3.2728,-3.8056,-3.745,0.0241,Rb,0,1.7956,7.5841,0.0181,0.0438,1.005,0.0606,17.92,0.57,0.06,0.45,3383.3,371.23
190.75,0.727296,0.272243,0.000218,0.000243,4.275,3.2923,-3.8363,-3.731,0.0391,Rb,0,1.8034,7.5995,0.0346,0.0104,0.9826,0.1054,15.08,0.69,0.01,0.93,2732.61,534.22
191.76,0.732046,0.267491,0.000199,0.000264,4.2858,3.279,-3.9241,-3.6407,0.1271,Zr,0,1.7949,7.6009,0.1519,-0.0358,1.0068,0.2835,21.17,0.62,0.01,0.04,2186.15,2080.63
