depth_m,x_SiO2,x_Al2O3,x_Rb,x_Zr,clr_SiO2,clr_Al2O3,clr_Rb,clr_Zr,aitchison_step,helmsman,regime,Keff,cnq_radial,bary_x,bary_y,logSiAl,logZrRb,CaCO3_pct,TOC_pct,alpha_SiO2,alpha_Al2O3,alpha_Rb,alpha_Zr
39.76,0.713355,0.286203,0.000224,0.000218,4.2681,3.3549,-3.7968,-3.8263,0.0705,Rb,0,1.8271,7.6503,-0.0836,-0.0124,0.9133,-0.0295,0.58,1.37,0.01,0.5,2905.06,730.35
40.75,0.719339,0.280201,0.000238,0.000222,4.2593,3.3165,-3.7528,-3.8231,0.0591,Rb,0,1.8172,7.6053,-0.0874,0.0466,0.9428,-0.0703,12.5,0.86,0.03,1.47,2469.85,13.17
41.75,0.718667,0.280877,0.000221,0.000235,4.2633,3.3238,-3.8257,-3.7615,0.0958,Rb,0,1.8183,7.6163,-0.0087,-0.0049,0.9395,0.0642,0.83,1.52,0.0,0.02,2429.52,1859.3
42.75,0.714871,0.284672,0.000235,0.000221,4.2555,3.3348,-3.7654,-3.8249,0.0885,Zr,0,1.8247,7.6183,-0.0911,0.0256,0.9208,-0.0595,3.58,1.39,0.01,0.05,2103.32,2181.81
43.75,0.7194,0.280132,0.000235,0.000232,4.2519,3.3088,-3.7746,-3.7861,0.0477,Zr,0,1.8172,7.5901,-0.047,0.041,0.9432,-0.0115,1.83,1.69,0.01,1.04,158.98,2985.5
44.75,0.703406,0.296148,0.000235,0.000212,4.245,3.3799,-3.7612,-3.8638,0.1064,Zr,0,1.8434,7.6498,-0.1432,-0.0045,0.8651,-0.1027,10.25,0.87,0.01,1.6,68.1,2293.3
45.64,0.708833,0.290734,0.000227,0.000206,4.2703,3.379,-3.777,-3.8723,0.031,SiO2,0,1.8345,7.6755,-0.1376,-0.0195,0.8912,-0.0953,18.67,0.98,0.94,0.0,1113.82,356.13
45.72,0.699929,0.299623,0.000241,0.000207,4.2366,3.3882,-3.7358,-3.889,0.0565,Rb,0,1.8489,7.6492,-0.1791,0.0066,0.8485,-0.1532,2.0,1.79,0.5,0.09,2344.36,423.17
46.75,0.706377,0.293184,0.000226,0.000214,4.2579,3.3786,-3.791,-3.8455,0.074,Rb,0,1.8385,7.6618,-0.1125,-0.0248,0.8793,-0.0545,23.25,0.82,0.12,0.06,2299.24,1669.02
47.76,0.711522,0.288029,0.000236,0.000213,4.2579,3.3535,-3.7555,-3.8559,0.0447,Rb,0,1.8302,7.6385,-0.1267,0.0165,0.9043,-0.1004,10.83,1.5,0.0,1.07,2797.91,255.17
48.75,0.703635,0.295903,0.000236,0.000226,4.2274,3.3612,-3.7715,-3.8171,0.0524,Zr,0,1.8432,7.6133,-0.098,0.0079,0.8662,-0.0456,11.42,1.41,0.47,0.07,395.76,2572.46
49.75,0.704732,0.294831,0.000227,0.00021,4.2577,3.3863,-3.7828,-3.8611,0.0601,Zr,0,1.8411,7.6689,-0.1315,-0.0258,0.8714,-0.0783,15.83,1.29,0.36,0.59,149.91,2377.76
50.75,0.707773,0.291779,0.000233,0.000215,4.2506,3.3645,-3.7683,-3.8469,0.0306,Al2O3,0,1.8364,7.6411,-0.1196,0.0018,0.8861,-0.0786,1.0,1.24,0.08,1.71,993.49,1032.95
51.75,0.70758,0.291987,0.000226,0.000207,4.2677,3.3826,-3.781,-3.8692,0.0358,Zr,0,1.8365,7.6761,-0.1353,-0.0242,0.8851,-0.0882,12.0,0.83,0.32,0.87,547.32,1811.61
52.75,0.70373,0.295825,0.000237,0.000208,4.2473,3.3807,-3.7507,-3.8774,0.0375,Rb,0,1.8429,7.6532,-0.1584,0.0008,0.8666,-0.1268,6.25,1.04,0.42,0.01,2900.44,229.03
53.75,0.712181,0.287374,0.000234,0.000211,4.2624,3.3549,-3.757,-3.8603,0.0351,Al2O3,0,1.8291,7.6446,-0.1292,0.0135,0.9075,-0.1033,4.25,2.16,0.26,1.84,137.04,1145.27
55.75,0.710923,0.288626,0.000234,0.000217,4.2534,3.352,-3.765,-3.8405,0.0233,Zr,0,1.8313,7.6323,-0.1106,0.0129,0.9014,-0.0755,5.58,1.72,0.21,0.05,501.87,3407.73
56.75,0.720224,0.27933,0.000227,0.000219,4.277,3.3298,-3.7854,-3.8214,0.0428,SiO2,0,1.8155,7.6363,-0.0733,0.012,0.9472,-0.0359,4.17,0.81,0.43,0.93,977.16,919.47
57.75,0.711588,0.287973,0.000229,0.00021,4.2685,3.3639,-3.7746,-3.8577,0.0517,Zr,0,1.83,7.6593,-0.1217,-0.0058,0.9046,-0.0831,4.25,1.23,0.04,1.55,193.03,2262.47
58.75,0.721264,0.278282,0.000231,0.000223,4.2704,3.318,-3.7752,-3.8132,0.064,Al2O3,0,1.8138,7.6182,-0.0681,0.0291,0.9524,-0.038,3.0,1.81,0.0,1.78,0.37,2307.09
59.75,0.712382,0.287166,0.000232,0.00022,4.2556,3.347,-3.7748,-3.8278,0.0357,Al2O3,0,1.8288,7.6298,-0.0939,0.0102,0.9086,-0.053,2.33,1.83,0.24,2.37,0.57,755.5
60.76,0.717169,0.28238,0.000234,0.000218,4.2652,3.3331,-3.7628,-3.8355,0.0221,Al2O3,0,1.8208,7.627,-0.0981,0.0262,0.9321,-0.0728,3.0,1.3,0.26,1.37,1272.3,556.18
61.75,0.714257,0.28529,0.000235,0.000217,4.2582,3.3405,-3.7598,-3.8389,0.0111,Al2O3,0,1.8257,7.6265,-0.1062,0.0239,0.9177,-0.0791,4.83,1.56,0.55,1.56,307.48,415.44
62.75,0.704966,0.294583,0.000243,0.000208,4.244,3.3715,-3.7292,-3.8863,0.0659,Zr,0,1.8409,7.6413,-0.1719,0.0219,0.8726,-0.1571,7.08,0.88,0.06,0.77,915.24,2380.02
63.75,0.709679,0.289871,0.000234,0.000216,4.2525,3.3571,-3.7663,-3.8433,0.0592,Zr,0,1.8333,7.6361,-0.1144,0.0083,0.8954,-0.077,6.92,0.74,0.03,0.2,1619.24,2541.68
64.75,0.705601,0.293947,0.00024,0.000213,4.2428,3.3672,-3.7453,-3.8647,0.0331,Zr,0,1.8399,7.6356,-0.1464,0.0157,0.8756,-0.1194,9.5,1.88,0.12,0.32,1730.91,1932.7
65.75,0.71221,0.287337,0.000232,0.000221,4.2536,3.3459,-3.7743,-3.8252,0.0545,Zr,0,1.8292,7.6266,-0.0921,0.0119,0.9077,-0.051,11.17,0.76,0.06,0.52,1182.57,2470.44
66.75,0.708128,0.29142,0.00024,0.000211,4.2487,3.3609,-3.7403,-3.8693,0.0578,Zr,0,1.8358,7.636,-0.1486,0.0223,0.8879,-0.129,10.08,1.47,0.01,0.23,1485.35,2629.74
67.75,0.703441,0.296108,0.000233,0.000218,4.2395,3.3743,-3.7742,-3.8396,0.0479,Rb,0,1.8434,7.6385,-0.1172,-0.0068,0.8653,-0.0654,11.08,1.52,0.05,0.27,2084.56,1820.07
68.75,0.702205,0.297395,0.000193,0.000206,4.2976,3.4384,-3.9015,-3.8345,0.154,Rb,0,1.8447,7.76,-0.0706,-0.1488,0.8592,0.067,32.08,0.78,0.2,0.59,2935.53,5.02
69.75,0.691204,0.308394,0.00018,0.000222,4.2765,3.4695,-3.9768,-3.7692,0.1065,Rb,0,1.8617,7.7684,-0.002,-0.2143,0.8071,0.2076,45.58,3.22,0.06,0.29,2589.58,1821.99
70.75,0.696783,0.302795,0.000203,0.000219,4.2602,3.4268,-3.8826,-3.8043,0.1105,Rb,0,1.8535,7.7097,-0.0579,-0.1192,0.8334,0.0783,27.75,2.65,0.03,0.48,4041.29,457.74
71.75,0.709981,0.289559,0.000235,0.000226,4.2412,3.3443,-3.7738,-3.8118,0.138,Rb,0,1.8329,7.6121,-0.0835,0.0163,0.8969,-0.038,10.58,0.84,0.03,1.18,3066.94,13.19
72.75,0.700038,0.299501,0.000246,0.000215,4.2229,3.3739,-3.7321,-3.8648,0.0759,Zr,0,1.8489,7.6211,-0.1588,0.0233,0.849,-0.1327,5.67,0.86,0.08,0.52,1289.22,2159.11
73.75,0.704822,0.294738,0.000231,0.000209,4.2547,3.3829,-3.7699,-3.8677,0.0503,Rb,0,1.841,7.6627,-0.1417,-0.0145,0.8719,-0.0978,9.5,0.79,0.57,0.11,2302.42,15.61
74.75,0.699619,0.299922,0.000236,0.000224,4.2227,3.3757,-3.7732,-3.8252,0.0538,Zr,0,1.8495,7.6221,-0.1101,-0.0034,0.847,-0.052,12.08,0.75,0.5,0.06,16.81,2984.78
75.64,0.705154,0.294405,0.000227,0.000214,4.2532,3.3797,-3.7864,-3.8466,0.0397,SiO2,0,1.8405,7.658,-0.1168,-0.0218,0.8735,-0.0602,11.17,0.75,0.84,0.03,465.26,1296.32
76.75,0.706775,0.292779,0.000233,0.000213,4.251,3.3697,-3.7665,-3.8542,0.0236,Rb,0,1.838,7.6464,-0.1281,-0.0013,0.8813,-0.0876,16.92,0.59,0.01,0.61,3108.76,483.19
77.75,0.707628,0.291935,0.000227,0.000211,4.2623,3.3769,-3.7828,-3.8564,0.0212,Rb,0,1.8365,7.665,-0.1232,-0.0195,0.8854,-0.0736,17.58,0.69,0.4,0.39,2530.88,51.39
78.75,0.71112,0.288433,0.000227,0.00022,4.2577,3.3553,-3.7899,-3.8231,0.0405,Zr,0,1.8309,7.6397,-0.0864,-0.006,0.9024,-0.0332,11.58,0.73,0.02,0.97,133.77,3192.75
79.72,0.698532,0.301011,0.000244,0.000213,4.2251,3.3833,-3.7361,-3.8723,0.0846,Rb,0,1.8512,7.6323,-0.1662,0.013,0.8418,-0.1363,14.58,0.67,0.21,0.38,1775.92,1538.44
80.75,0.70745,0.292146,0.000186,0.000218,4.3035,3.4191,-3.9415,-3.7812,0.2407,Rb,1,1.8363,7.7488,-0.0022,-0.1597,0.8844,0.1603,31.33,0.71,0.15,0.07,2989.55,674.98
81.76,0.708333,0.291229,0.000223,0.000216,4.2621,3.3733,-3.8004,-3.835,0.1631,Rb,0,1.8353,7.6613,-0.0973,-0.0276,0.8888,-0.0346,13.67,0.74,0.09,0.27,4025.48,500.5
82.75,0.718728,0.280805,0.000228,0.00024,4.2503,3.3105,-3.8061,-3.7548,0.1028,Zr,0,1.8184,7.5901,-0.0094,0.0206,0.9398,0.0513,12.33,0.89,0.02,1.28,13.46,2829.54
83.75,0.713436,0.286101,0.000239,0.000224,4.2454,3.3317,-3.7578,-3.8193,0.0834,Zr,0,1.8272,7.6047,-0.0908,0.035,0.9137,-0.0615,12.92,0.82,0.0,0.23,1466.9,2492.42
84.75,0.716892,0.282652,0.000232,0.000224,4.2595,3.3288,-3.778,-3.8102,0.0264,Rb,0,1.8213,7.6168,-0.0708,0.0215,0.9307,-0.0322,11.58,0.63,0.4,0.04,2458.23,527.47
85.75,0.708722,0.290826,0.000241,0.000211,4.2492,3.3585,-3.7376,-3.8702,0.0789,Zr,0,1.8349,7.6343,-0.1495,0.0257,0.8907,-0.1326,16.5,0.73,0.02,0.5,1137.43,2575.66
86.75,0.718561,0.280987,0.000217,0.000235,4.2673,3.3283,-3.8375,-3.758,0.1543,Zr,0,1.8184,7.6248,-0.0017,-0.0166,0.9389,0.0795,11.17,0.88,0.02,0.13,1742.75,2503.61
87.75,0.713317,0.286237,0.000224,0.000222,4.2635,3.3504,-3.8004,-3.8136,0.0705,Zr,0,1.8272,7.6413,-0.0712,-0.0101,0.9131,-0.0132,10.5,0.82,0.0,0.35,1279.41,2642.07
88.75,0.709697,0.289874,0.000208,0.000221,4.276,3.3806,-3.8601,-3.7966,0.0701,Rb,0,1.833,7.6829,-0.0407,-0.0732,0.8954,0.0635,22.83,0.64,0.04,0.65,3226.03,264.89
89.75,0.704868,0.294711,0.000212,0.00021,4.2756,3.4035,-3.8355,-3.8436,0.0578,Zr,0,1.8407,7.7038,-0.0976,-0.0758,0.872,-0.008,22.33,0.65,0.0,0.54,870.45,2989.7
90.75,0.707964,0.291573,0.000234,0.000229,4.2352,3.3481,-3.7809,-3.8024,0.0969,Al2O3,0,1.8363,7.6091,-0.0756,0.0105,0.8871,-0.0215,12.25,0.78,0.25,1.11,1502.27,861.66
91.75,0.708059,0.291494,0.000228,0.000218,4.2527,3.3652,-3.7863,-3.8316,0.0385,Zr,0,1.8359,7.6437,-0.0995,-0.0103,0.8875,-0.0453,9.08,0.87,0.29,0.68,84.54,2517.0
92.75,0.7103,0.289263,0.000224,0.000213,4.268,3.3697,-3.7958,-3.842,0.0213,SiO2,0,1.8321,7.6642,-0.1022,-0.0233,0.8984,-0.0462,21.17,0.61,0.73,0.15,873.98,1081.07
93.65,0.711133,0.288487,0.000159,0.000221,4.346,3.4438,-4.0584,-3.7315,0.3045,Rb,1,1.83,7.8193,0.0873,-0.2609,0.9022,0.3269,37.33,0.52,0.09,0.2,3326.24,616.66
95.75,0.712263,0.287288,0.000228,0.000221,4.2586,3.3506,-3.7882,-3.821,0.312,Rb,1,1.829,7.6363,-0.0835,-0.0016,0.908,-0.0328,11.75,0.77,0.11,0.31,4709.94,373.26
96.75,0.709716,0.289825,0.000231,0.000227,4.2427,3.3471,-3.7857,-3.804,0.0237,Zr,0,1.8333,7.6161,-0.0729,0.0065,0.8956,-0.0182,6.58,0.77,0.63,0.08,46.88,2337.52
97.75,0.709987,0.289561,0.000231,0.000221,4.2504,3.3536,-3.7816,-3.8224,0.0214,Zr,0,1.8328,7.6305,-0.0902,0.0022,0.8969,-0.0408,15.0,0.78,0.19,0.32,162.23,3252.0
98.75,0.710745,0.288841,0.000211,0.000203,4.2958,3.3954,-3.8262,-3.865,0.0872,SiO2,0,1.8311,7.7175,-0.1115,-0.0685,0.9004,-0.0388,33.08,0.59,0.38,0.79,1131.74,1077.77
99.75,0.70083,0.298717,0.000235,0.000218,4.2318,3.379,-3.7684,-3.8425,0.0906,SiO2,0,1.8476,7.6349,-0.1254,-0.0052,0.8528,-0.0741,5.92,0.96,0.7,0.11,1927.81,304.51
100.75,0.710132,0.28942,0.000221,0.000228,4.2545,3.3569,-3.8217,-3.7896,0.0815,Rb,0,1.8325,7.6378,-0.0471,-0.0261,0.8976,0.0322,7.75,1.09,0.11,0.25,1822.93,1927.1
101.76,0.713278,0.286271,0.000227,0.000224,4.2582,3.3453,-3.7953,-3.8082,0.0346,Rb,0,1.8273,7.6309,-0.0683,-0.0017,0.9129,-0.0129,8.92,0.93,0.02,0.39,2652.79,1272.74
102.75,0.715273,0.284275,0.000222,0.000229,4.2614,3.3387,-3.8159,-3.7842,0.0325,Zr,0,1.824,7.6281,-0.037,-0.01,0.9227,0.0317,8.92,0.88,0.01,0.14,1776.22,2440.0
103.75,0.708477,0.291082,0.000223,0.000217,4.2601,3.3706,-3.8016,-3.8292,0.057,Zr,0,1.8351,7.6567,-0.0915,-0.0257,0.8895,-0.0276,11.92,0.93,0.0,1.1,284.48,2715.89
104.75,0.703773,0.295791,0.000223,0.000213,4.257,3.3902,-3.8013,-3.846,0.026,Al2O3,0,1.8427,7.6719,-0.1131,-0.0401,0.8668,-0.0447,5.5,1.1,0.02,1.95,0.59,1922.7
105.25,0.700483,0.299075,0.000235,0.000207,4.2445,3.3934,-3.7558,-3.8822,0.0595,Rb,0,1.848,7.6622,-0.1654,-0.0116,0.8511,-0.1264,9.17,1.18,0.06,0.01,2621.29,1733.03
105.73,0.712141,0.287421,0.000229,0.000208,4.2714,3.3641,-3.7694,-3.8661,0.0451,Al2O3,0,1.8291,7.6627,-0.13,-0.0035,0.9073,-0.0966,12.25,1.01,0.51,1.42,390.69,617.84
105.74,0.711185,0.288377,0.000232,0.000206,4.269,3.3664,-3.7576,-3.8779,0.0171,Rb,0,1.8307,7.6625,-0.1459,0.0026,0.9027,-0.1203,14.33,0.99,0.03,0.06,2113.72,2295.42
107.75,0.71361,0.285973,0.00021,0.000207,4.2976,3.3832,-3.8325,-3.8484,0.0871,Rb,0,1.8263,7.708,-0.0905,-0.0634,0.9144,-0.0159,20.83,0.8,0.15,0.13,3185.84,557.19
108.75,0.703184,0.296364,0.000216,0.000235,4.2384,3.3744,-3.8487,-3.764,0.1047,Zr,0,1.8438,7.6375,-0.025,-0.0525,0.864,0.0847,6.08,2.18,0.45,0.02,114.57,3135.81
109.75,0.701624,0.297919,0.000222,0.000235,4.2294,3.3729,-3.8285,-3.7738,0.0242,Rb,0,1.8464,7.6265,-0.0428,-0.0368,0.8566,0.0547,4.42,1.19,0.19,0.01,3223.82,689.73
110.75,0.699515,0.300039,0.000224,0.000222,4.2372,3.3907,-3.8107,-3.8172,0.0508,Zr,0,1.8495,7.6513,-0.0903,-0.0415,0.8465,-0.0065,8.75,0.79,0.03,0.41,553.19,3112.75
111.75,0.706155,0.293425,0.000197,0.000222,4.2817,3.4035,-3.9034,-3.7818,0.1095,Rb,0,1.8386,7.7107,-0.0177,-0.119,0.8782,0.1216,22.75,0.62,0.24,0.05,3203.55,469.96
113.75,0.715718,0.283843,0.000215,0.000224,4.2758,3.351,-3.8345,-3.7923,0.0874,Rb,0,1.8231,7.6548,-0.0371,-0.0344,0.9249,0.0423,14.75,0.92,0.01,1.23,3151.5,64.77
114.75,0.71486,0.284688,0.000214,0.000238,4.2599,3.3392,-3.8532,-3.7459,0.0538,Zr,0,1.8247,7.6273,0.0092,-0.033,0.9207,0.1074,6.08,1.18,0.12,0.17,561.68,3315.75
115.75,0.715541,0.284016,0.000213,0.00023,4.2715,3.3474,-3.8497,-3.7692,0.0275,Zr,0,1.8234,7.6471,-0.0117,-0.0399,0.924,0.0806,11.58,0.83,0.25,0.32,75.08,3008.61
118.75,0.711756,0.287821,0.000192,0.000231,4.2902,3.3848,-3.9302,-3.7449,0.0938,Rb,0,1.8295,7.7028,0.0321,-0.1229,0.9054,0.1853,21.0,0.77,0.06,0.56,3453.89,290.52
119.75,0.717091,0.28246,0.00022,0.000229,4.2675,3.3358,-3.8207,-3.7825,0.1277,Rb,0,1.8209,7.6318,-0.0313,-0.0121,0.9317,0.0382,6.42,1.3,0.04,0.51,3832.33,376.57
120.79,0.70068,0.298761,0.000223,0.000335,4.137,3.2846,-3.9136,-3.5081,0.3218,Zr,1,1.8492,7.4516,0.2206,0.0014,0.8524,0.4055,12.42,0.85,0.23,0.09,377.69,3178.05
121.75,0.709265,0.290314,0.000177,0.000244,4.2916,3.3983,-4.006,-3.6839,0.2761,Zr,1,1.8336,7.7191,0.1088,-0.1804,0.8933,0.3221,25.17,0.61,0.45,0.57,501.14,1209.31
123.69,0.714097,0.285458,0.00022,0.000225,4.2666,3.3497,-3.8183,-3.798,0.2263,Rb,1,1.8259,7.6439,-0.0501,-0.0212,0.9169,0.0203,13.5,0.92,0.02,0.16,3891.26,1042.05
124.75,0.711139,0.288413,0.000232,0.000215,4.2584,3.3559,-3.7688,-3.8455,0.0694,Rb,0,1.8308,7.6412,-0.1135,0.0063,0.9025,-0.0767,14.25,1.02,0.02,0.03,2312.82,2088.32
125.75,0.708782,0.29077,0.00023,0.000218,4.253,3.362,-3.7799,-3.8351,0.0172,Rb,0,1.8347,7.6411,-0.1037,-0.0039,0.891,-0.0552,10.08,1.95,0.14,0.43,1777.87,1702.2
126.78,0.709546,0.290024,0.000216,0.000214,4.2751,3.3805,-3.824,-3.8316,0.0529,Rb,0,1.8332,7.6817,-0.0844,-0.0507,0.8947,-0.0076,21.17,0.5,0.25,0.42,3030.62,19.75
127.71,0.718416,0.28114,0.000214,0.00023,4.2756,3.3374,-3.8417,-3.7712,0.0763,Zr,0,1.8186,7.6419,-0.0122,-0.0281,0.9382,0.0705,16.67,0.71,0.0,1.1,249.2,2928.84
128.75,0.732417,0.267123,0.000205,0.000255,4.2885,3.2799,-3.8944,-3.674,0.1253,Zr,0,1.7942,7.6036,0.1127,-0.0189,1.0086,0.2204,7.25,0.76,0.01,0.75,826.17,2617.21
129.75,0.726558,0.27298,0.000222,0.000239,4.272,3.2931,-3.8193,-3.7457,0.106,Rb,0,1.8047,7.5968,0.0146,0.021,0.9789,0.0736,14.83,0.67,0.03,0.06,2454.5,1795.12
130.75,0.73136,0.268188,0.000204,0.000248,4.295,3.2918,-3.8913,-3.6955,0.0907,Rb,0,1.796,7.6211,0.091,-0.0277,1.0032,0.1957,5.58,0.72,0.09,0.0,2827.22,1279.96
131.74,0.725203,0.274319,0.000221,0.000257,4.2535,3.2814,-3.8423,-3.6926,0.0651,Rb,0,1.8073,7.5669,0.0676,0.0203,0.9722,0.1497,4.33,0.73,0.56,0.1,2780.77,8.07
132.75,0.726362,0.273173,0.00022,0.000245,4.2686,3.2906,-3.8344,-3.7248,0.0376,Zr,0,1.8051,7.5911,0.0381,0.0144,0.9779,0.1096,2.17,0.73,0.22,0.22,200.51,2861.76
133.73,0.716457,0.283091,0.000229,0.000223,4.2632,3.3347,-3.787,-3.8109,0.1079,Zr,0,1.822,7.6263,-0.069,0.0105,0.9285,-0.0239,26.08,0.43,0.0,0.61,877.14,2599.85
134.64,0.709373,0.290166,0.000235,0.000226,4.2388,3.3449,-3.7726,-3.8112,0.0302,SiO2,0,1.8339,7.6101,-0.0843,0.0172,0.8939,-0.0386,23.42,0.45,0.92,0.4,1005.49,0.29
136.75,0.7217,0.27783,0.000216,0.000254,4.2556,3.301,-3.8603,-3.6962,0.1521,Zr,0,1.8133,7.5875,0.0655,-0.0065,0.9546,0.1641,5.25,0.73,0.02,0.29,1414.59,2525.04
137.75,0.713129,0.286411,0.00023,0.000229,4.2483,3.3361,-3.789,-3.7953,0.1273,Zr,0,1.8277,7.6117,-0.0592,0.0117,0.9122,-0.0063,10.67,0.64,0.0,0.27,1454.47,2389.0
138.75,0.709526,0.290004,0.000244,0.000226,4.2304,3.3357,-3.7463,-3.8199,0.0524,Rb,0,1.8338,7.5927,-0.1008,0.0425,0.8947,-0.0736,16.42,0.44,0.16,0.0,2884.83,955.99
139.75,0.721401,0.278138,0.00022,0.000241,4.263,3.3099,-3.8328,-3.7402,0.1247,Rb,0,1.8137,7.6032,0.0166,0.0017,0.9531,0.0926,3.17,0.76,0.1,0.15,1973.83,1802.98
140.76,0.718926,0.280594,0.000228,0.000252,4.2378,3.297,-3.8177,-3.7171,0.0396,SiO2,0,1.8182,7.5644,0.0282,0.027,0.9408,0.1005,29.0,0.45,0.56,0.39,662.29,1412.42
142.75,0.732376,0.267159,0.000208,0.000257,4.2822,3.2738,-3.8837,-3.6724,0.0942,Rb,0,1.7943,7.5911,0.1104,-0.006,1.0084,0.2113,4.83,0.76,0.31,0.22,2153.43,894.52
143.7,0.731305,0.268219,0.000217,0.000259,4.2677,3.2647,-3.8536,-3.6788,0.0352,Rb,0,1.7964,7.5667,0.0927,0.0229,1.003,0.1749,5.58,0.74,0.23,0.25,3503.91,128.78
145.75,0.72488,0.274647,0.000225,0.000248,4.257,3.2865,-3.8189,-3.7247,0.0625,Zr,0,1.8078,7.575,0.0306,0.0299,0.9705,0.0942,7.75,0.62,0.04,0.46,1423.08,2084.55
146.75,0.713338,0.286197,0.00024,0.000224,4.244,3.3308,-3.7533,-3.8215,0.1256,Zr,0,1.8274,7.6024,-0.0944,0.0388,0.9133,-0.0681,8.42,0.72,0.01,0.45,1207.49,2395.27
147.75,0.721212,0.278331,0.000222,0.000235,4.2667,3.3146,-3.8183,-3.7629,0.0918,Rb,0,1.814,7.6112,-0.0088,0.0061,0.9521,0.0554,6.5,0.84,0.09,0.11,2091.0,1812.51
148.75,0.723416,0.276123,0.00022,0.000241,4.2674,3.3043,-3.8314,-3.7404,0.028,Zr,0,1.8102,7.6026,0.0189,0.0059,0.9631,0.091,1.75,0.78,0.0,0.48,969.66,2763.07
149.73,0.713426,0.28612,0.000234,0.00022,4.255,3.3414,-3.7657,-3.8306,0.1182,Zr,0,1.8271,7.6239,-0.0981,0.0203,0.9137,-0.0649,0.92,1.34,0.02,0.36,1401.7,2419.79
150.75,0.714642,0.284914,0.000227,0.000217,4.2686,3.349,-3.7881,-3.8294,0.0273,Rb,0,1.825,7.6453,-0.0876,-0.0026,0.9196,-0.0413,0.67,0.91,0.35,0.27,2871.43,8.83
