Year,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind
2010,56.10,1847.28,987.69,254.70,806.96,47.52,17.84,1.22,94.65
2011,56.66,1733.43,1013.68,312.93,790.20,41.79,18.16,1.82,120.18
2012,57.62,1514.05,1225.90,271.28,769.32,39.07,18.26,4.34,140.82
2013,60.86,1581.11,1124.86,263.88,789.02,40.26,18.76,9.03,167.85
2014,63.99,1581.72,1126.60,253.18,797.16,43.69,19.05,28.93,181.67
2015,63.66,1352.41,1333.50,244.00,797.18,44.45,19.12,39.04,190.72
2016,62.75,1239.13,1378.30,261.13,805.70,39.52,19.17,54.86,227.01
2017,62.73,1205.84,1296.46,293.84,804.93,37.89,19.07,77.28,254.30
2018,61.83,1149.49,1469.13,286.63,807.08,42.69,18.69,93.36,272.67
2019,57.51,964.95,1585.83,282.59,809.39,37.47,17.88,106.89,295.87
2020,54.71,773.40,1624.15,279.95,789.89,34.33,18.08,130.71,337.94
