redshift,Dark_Energy,Cold_Dark_Matter,Baryonic_Matter,Photon_Radiation,Neutrinos
1.478132,1.2755681442e-01,7.3402162148e-01,1.3778853149e-01,3.7799283395e-04,2.5503977458e-04
1.578947,1.1482322235e-01,7.4471292321e-01,1.3979547342e-01,3.9909987765e-04,2.6928114422e-04
1.684211,1.0317441933e-01,7.5448998835e-01,1.4163079735e-01,4.2084316847e-04,2.8395180326e-04
1.712097,1.0033975318e-01,7.5686858384e-01,1.4207730079e-01,4.2655589350e-04,2.8780629989e-04
1.789474,9.2972408081e-02,7.6304931759e-01,1.4323753123e-01,4.4230831334e-04,2.9843479135e-04
1.894737,8.4013452681e-02,7.7056241384e-01,1.4464786911e-01,4.6351856692e-04,3.1274579887e-04
1.983095,7.7325554679e-02,7.7616844807e-01,1.4570021853e-01,4.8114201439e-04,3.2463671231e-04
2.000000,7.6124314263e-02,7.7717510441e-01,1.4588918530e-01,4.8449618328e-04,3.2689984114e-04
2.296987,5.8442764847e-02,7.9198017461e-01,1.4866835259e-01,5.4260252872e-04,3.6610542365e-04
2.660564,4.3379576671e-02,8.0456477598e-01,1.5103069955e-01,6.1201100944e-04,4.1293679633e-04
3.081689,3.1669416637e-02,8.1431322297e-01,1.5286065136e-01,6.9068752587e-04,4.6602150909e-04
3.569471,2.2775638136e-02,8.2167510879e-01,1.5424260443e-01,7.8021861477e-04,5.2643003190e-04
4.134462,1.6160023995e-02,8.2710094463e-01,1.5526112750e-01,8.8247756461e-04,5.9542631218e-04
4.788881,1.1328882352e-02,8.3100331425e-01,1.5599366965e-01,9.9964923185e-04,6.7448451889e-04
5.546885,7.8576503596e-03,8.3373611305e-01,1.5650666317e-01,1.1342624859e-03,7.6531093379e-04
6.424869,5.3987598193e-03,8.3558786643e-01,1.5685426925e-01,1.2892322140e-03,8.6987229308e-04
7.441824,3.6785185933e-03,8.3678428115e-01,1.5707885695e-01,1.4679119876e-03,9.9043132248e-04
8.619746,2.4880555477e-03,8.3749577905e-01,1.5721241739e-01,1.6741580786e-03,1.1295899304e-03
9.984115,1.6720056723e-03,8.3784691647e-01,1.5727833195e-01,1.9124054372e-03,1.2903404716e-03
11.564442,1.1172342309e-03,8.3792575291e-01,1.5729313091e-01,2.1877563727e-03,1.4761255823e-03
13.394909,7.4281009009e-04,8.3779214868e-01,1.5726805108e-01,2.5060829069e-03,1.6909072402e-03
15.515110,4.9170053068e-04,8.3748459216e-01,1.5721031742e-01,2.8741440201e-03,1.9392458723e-03
17.970906,3.2422223491e-04,8.3702552538e-01,1.5712414266e-01,3.2997192386e-03,2.2263904900e-03
20.815414,2.1306153754e-04,8.3642532302e-01,1.5701147431e-01,3.7917601889e-03,2.5583809453e-03
24.110164,1.3959258192e-04,8.3568515086e-01,1.5687253122e-01,4.3605618559e-03,2.9421634827e-03
27.926419,9.1214973494e-05,8.3479893565e-01,1.5670617332e-01,5.0179552949e-03,3.3857207659e-03
32.346728,5.9463009351e-05,8.3375465267e-01,1.5651014338e-01,5.7775234490e-03,3.8982174944e-03
37.466700,3.8682632796e-05,8.3253510091e-01,1.5628121245e-01,6.6548414568e-03,4.4901625443e-03
43.397084,2.5117001568e-05,8.3111829825e-01,1.5601525413e-01,7.6677423642e-03,5.1735882495e-03
50.266152,1.6280988511e-05,8.2947759743e-01,1.5570726626e-01,8.8366083963e-03,5.9622469291e-03
58.222485,1.0537054276e-05,8.2758159774e-01,1.5535135438e-01,1.0184686815e-02,6.8718240035e-03
67.438179,6.8097974568e-06,8.2539390903e-01,1.5494068744e-01,1.1738427780e-02,7.9201659554e-03
78.112571,4.3950567817e-06,8.2287281171e-01,1.5446743395e-01,1.3527839392e-02,9.1275198874e-03
90.476550,2.8329399023e-06,8.1997084992e-01,1.5392268562e-01,1.5586852121e-02,1.0516779405e-02
104.797550,1.8237659965e-06,8.1663439168e-01,1.5329637480e-01,1.7953680849e-02,1.2113728900e-02
121.385336,1.1726422052e-06,8.1280319220e-01,1.5257719251e-01,2.0671167755e-02,1.3947274898e-02
140.598706,7.5304703415e-07,8.0841000054e-01,1.5175251459e-01,2.3787082933e-02,1.6049648894e-02
162.853246,4.8297458916e-07,8.0338025884e-01,1.5080834523e-01,2.7354352019e-02,1.8456560935e-02
188.630327,3.0934808982e-07,7.9763195334e-01,1.4972928904e-01,3.1431171113e-02,2.1207277163e-02
218.487510,1.9785948838e-07,7.9107568992e-01,1.4849856520e-01,3.6080959263e-02,2.4344587756e-02
253.070610,1.2635946276e-07,7.8361508087e-01,1.4709808007e-01,4.1372088162e-02,2.7914624540e-02
293.127666,8.0564742497e-08,7.7514754320e-01,1.4550857705e-01,4.7377318492e-02,3.1966480692e-02
339.525117,5.1274714285e-08,7.6556562050e-01,1.4370988473e-01,5.4172864155e-02,3.6551579346e-02
393.266546,3.2569175227e-08,7.5475894538e-01,1.4168128523e-01,6.1837001563e-02,4.1722735255e-02
455.514390,2.0642853108e-08,7.4261695523e-01,1.3940202404e-01,7.0448144336e-02,4.7532855751e-02
527.615079,1.3052584029e-08,7.2903245382e-01,1.3685197858e-01,8.0082317807e-02,5.4033236736e-02
611.128160,8.2315624082e-09,7.1390607088e-01,1.3401249534e-01,9.0809996609e-02,6.1271428939e-02
707.860035,5.1762355710e-09,6.9715160452e-01,1.3086739274e-01,1.0269231597e-01,6.9288681595e-02
819.903029,3.2446803576e-09,6.7870213593e-01,1.2740410895e-01,1.1577673530e-01,7.8117016572e-02
949.680647,2.0268942908e-09,6.5851668193e-01,1.2361495072e-01,1.3009232025e-01,8.7776045073e-02
1100.000000,1.2614327181e-09,6.3658700766e-01,1.1949837224e-01,1.4564491114e-01,9.8269707703e-02
1100.000000,1.2614327181e-09,6.3658700766e-01,1.1949837224e-01,1.4564491114e-01,9.8269707703e-02
3400.000000,2.8350551096e-11,4.2170924669e-01,7.9162106563e-02,2.9803686119e-01,2.0109178552e-01
