Location,SiO2,TiO2,Al2O3,FeO,CaO,MgO,MnO,K2O,Na2O,P2O5
MORB-Arctic,0.5140378253,0.0208640545,0.1693934478,0.0793970190,0.1061317635,0.0627819919,0.0016761542,0.0109767184,0.0317635811,0.0029774443
MORB-Atlantic,0.5128819837,0.0159847825,0.1542711560,0.0972293205,0.1087347265,0.0775280916,0.0017427460,0.0022356039,0.0274320421,0.0019595472
MORB-Gakkel,0.5190434170,0.0177792472,0.1636201745,0.0728267208,0.1098594477,0.0762142586,0.0022992018,0.0028076142,0.0339244572,0.0016254610
MORB-Indian,0.5105641730,0.0135720558,0.1597863431,0.0900072467,0.1152698758,0.0768495956,0.0014634277,0.0016064570,0.0295136768,0.0013671484
MORB-Pacific,0.5064632700,0.0171800460,0.1543193586,0.1021508852,0.1120084667,0.0738570220,0.0019089984,0.0020819755,0.0280802232,0.0019497543
